Parsing SERVER log (ACTIVE only)...
  Found 2699 SERVER activations
Parsing CLIENT log (ACTIVE only)...
  Found 2699 CLIENT activations

====================================================================================================
BILATERAL PHASE TIMING ANALYSIS (ACTIVE CYCLES ONLY)
====================================================================================================

Time (s)     Period (ms)  CLIENT @     Target @     Phase Err    Status
----------------------------------------------------------------------------------------------------
6.31         2000         +5735        1000         +4735        DRIFT
8.32         2000         +3725        1000         +2725        DRIFT
10.32        2000         +1725        1000         +725         DRIFT
12.32        2000         +1685        1000         +685         DRIFT
14.32        2000         +1685        1000         +685         DRIFT
16.32        2000         +1695        1000         +695         DRIFT
18.33        2000         +1695        1000         +695         DRIFT
20.33        2000         +1655        1000         +655         DRIFT
22.33        2000         +1665        1000         +665         DRIFT
24.33        2000         +1675        1000         +675         DRIFT
26.33        2000         +1685        1000         +685         DRIFT
28.34        2000         +1635        1000         +635         DRIFT
30.34        2000         +1635        1000         +635         DRIFT
32.34        2000         +1595        1000         +595         DRIFT
34.34        2000         +1605        1000         +605         DRIFT
36.34        2000         +1615        1000         +615         DRIFT
38.34        2000         +1575        1000         +575         DRIFT
40.35        2000         +1575        1000         +575         DRIFT
42.35        2000         +1535        1000         +535         DRIFT
44.35        2000         +1545        1000         +545         DRIFT
46.35        2000         +1555        1000         +555         DRIFT
48.35        2000         +1505        1000         +505         DRIFT
50.35        2000         +1515        1000         +515         DRIFT
52.35        2000         +1525        1000         +525         DRIFT
54.35        2000         +1535        1000         +535         DRIFT
56.35        2000         +1545        1000         +545         DRIFT
58.35        2000         +1545        1000         +545         DRIFT
60.35        2000         +1575        1000         +575         DRIFT
62.36        2000         +1575        1000         +575         DRIFT
64.36        2000         +1585        1000         +585         DRIFT
66.36        2000         +1595        1000         +595         DRIFT
68.36        2000         +1605        1000         +605         DRIFT
70.36        2000         +1605        1000         +605         DRIFT
72.36        2000         +1565        1000         +565         DRIFT
74.36        2000         +1575        1000         +575         DRIFT
76.36        2000         +1585        1000         +585         DRIFT
78.36        2000         +1595        1000         +595         DRIFT
80.36        2000         +1545        1000         +545         DRIFT
82.36        2000         +1555        1000         +555         DRIFT
84.36        2000         +1565        1000         +565         DRIFT
86.36        2000         +1575        1000         +575         DRIFT
88.36        2000         +1535        1000         +535         DRIFT
90.36        2000         +1535        1000         +535         DRIFT
92.36        2000         +1545        1000         +545         DRIFT
94.36        2000         +1505        1000         +505         DRIFT
96.36        2000         +1515        1000         +515         DRIFT
98.36        2000         +1525        1000         +525         DRIFT
100.36       2000         +1525        1000         +525         DRIFT
102.36       2000         +1485        1000         +485         DRIFT
104.36       2000         +1495        1000         +495         DRIFT
106.36       2000         +1505        1000         +505         DRIFT
108.36       2000         +1515        1000         +515         DRIFT
110.36       2000         +1465        1000         +465         DRIFT
112.36       2000         +1475        1000         +475         DRIFT
114.36       2000         +1485        1000         +485         DRIFT
116.36       2000         +1495        1000         +495         DRIFT
118.36       2000         +1455        1000         +455         DRIFT
120.36       2000         +1455        1000         +455         DRIFT
122.37       2000         +1425        1000         +425         DRIFT
124.37       2000         +1435        1000         +435         DRIFT
126.37       2000         +1445        1000         +445         DRIFT
128.37       2000         +1445        1000         +445         DRIFT
130.37       2000         +1405        1000         +405         DRIFT
132.37       2000         +1515        1000         +515         DRIFT
134.37       2000         +1515        1000         +515         DRIFT
136.37       2000         +1525        1000         +525         DRIFT
138.37       2000         +1535        1000         +535         DRIFT
140.38       2000         +1535        1000         +535         DRIFT
142.38       2000         +1545        1000         +545         DRIFT
144.38       2000         +1555        1000         +555         DRIFT
146.38       2000         +1565        1000         +565         DRIFT
148.38       2000         +1575        1000         +575         DRIFT
150.38       2000         +1585        1000         +585         DRIFT
152.38       2000         +1585        1000         +585         DRIFT
154.38       2000         +1595        1000         +595         DRIFT
156.38       2000         +1605        1000         +605         DRIFT
158.38       2000         +1615        1000         +615         DRIFT
160.38       2000         +1625        1000         +625         DRIFT
162.38       2000         +1625        1000         +625         DRIFT
164.38       2000         +1635        1000         +635         DRIFT
166.38       2000         +1595        1000         +595         DRIFT
168.38       2000         +1605        1000         +605         DRIFT
170.38       2000         +1615        1000         +615         DRIFT
172.38       2000         +1615        1000         +615         DRIFT
174.38       2000         +1575        1000         +575         DRIFT
176.38       2000         +1585        1000         +585         DRIFT
178.38       2000         +1595        1000         +595         DRIFT
180.38       2000         +1605        1000         +605         DRIFT
182.39       2000         +1565        1000         +565         DRIFT
184.39       2000         +1575        1000         +575         DRIFT
186.39       2000         +1585        1000         +585         DRIFT
188.39       2000         +1585        1000         +585         DRIFT
190.39       2000         +1545        1000         +545         DRIFT
192.39       2000         +1555        1000         +555         DRIFT
194.39       2000         +1565        1000         +565         DRIFT
196.39       2000         +1575        1000         +575         DRIFT
198.39       2000         +1575        1000         +575         DRIFT
200.40       2000         +1575        1000         +575         DRIFT
202.40       2000         +1595        1000         +595         DRIFT
204.40       2000         +1605        1000         +605         DRIFT
206.40       2000         +1605        1000         +605         DRIFT
208.40       2000         +1615        1000         +615         DRIFT
210.40       2000         +1625        1000         +625         DRIFT
212.40       2000         +1635        1000         +635         DRIFT
214.40       2000         +1595        1000         +595         DRIFT
216.40       2000         +1595        1000         +595         DRIFT
218.40       2000         +1605        1000         +605         DRIFT
220.40       2000         +1615        1000         +615         DRIFT
222.40       2000         +1625        1000         +625         DRIFT
224.40       2000         +1585        1000         +585         DRIFT
226.40       2000         +1585        1000         +585         DRIFT
228.40       2000         +1595        1000         +595         DRIFT
230.40       2000         +1605        1000         +605         DRIFT
232.40       2000         +1615        1000         +615         DRIFT
234.40       2000         +1575        1000         +575         DRIFT
236.40       2000         +1575        1000         +575         DRIFT
238.40       2000         +1585        1000         +585         DRIFT
240.40       2000         +1595        1000         +595         DRIFT
242.41       2000         +1555        1000         +555         DRIFT
244.41       2000         +1565        1000         +565         DRIFT
246.41       2000         +1575        1000         +575         DRIFT
248.41       2000         +1575        1000         +575         DRIFT
250.41       2000         +1535        1000         +535         DRIFT
252.41       2000         +1545        1000         +545         DRIFT
254.41       2000         +1555        1000         +555         DRIFT
256.41       2000         +1565        1000         +565         DRIFT
258.41       2000         +1565        1000         +565         DRIFT
260.42       2000         +1565        1000         +565         DRIFT
262.42       2000         +1585        1000         +585         DRIFT
264.42       2000         +1595        1000         +595         DRIFT
266.42       2000         +1595        1000         +595         DRIFT
268.42       2000         +1605        1000         +605         DRIFT
270.42       2000         +1615        1000         +615         DRIFT
272.42       2000         +1625        1000         +625         DRIFT
274.42       2000         +1635        1000         +635         DRIFT
276.42       2000         +1635        1000         +635         DRIFT
278.42       2000         +1645        1000         +645         DRIFT
280.42       2000         +1655        1000         +655         DRIFT
282.42       2000         +1665        1000         +665         DRIFT
284.42       2000         +1675        1000         +675         DRIFT
286.42       2000         +1675        1000         +675         DRIFT
288.42       2000         +1635        1000         +635         DRIFT
290.42       2000         +1645        1000         +645         DRIFT
292.42       2000         +1655        1000         +655         DRIFT
294.42       2000         +1665        1000         +665         DRIFT
296.42       2000         +1665        1000         +665         DRIFT
298.42       2000         +1675        1000         +675         DRIFT
300.42       2000         +1635        1000         +635         DRIFT
302.43       2000         +1645        1000         +645         DRIFT
304.43       2000         +1655        1000         +655         DRIFT
306.43       2000         +1665        1000         +665         DRIFT
308.43       2000         +1615        1000         +615         DRIFT
310.43       2000         +1625        1000         +625         DRIFT
312.43       2000         +1635        1000         +635         DRIFT
314.43       2000         +1645        1000         +645         DRIFT
316.43       2000         +1655        1000         +655         DRIFT
318.43       2000         +1655        1000         +655         DRIFT
320.44       2000         +1655        1000         +655         DRIFT
322.44       2000         +1675        1000         +675         DRIFT
324.44       2000         +1685        1000         +685         DRIFT
326.44       2000         +1635        1000         +635         DRIFT
328.44       2000         +1645        1000         +645         DRIFT
330.44       2000         +1655        1000         +655         DRIFT
332.44       2000         +1665        1000         +665         DRIFT
334.44       2000         +1675        1000         +675         DRIFT
336.44       2000         +1675        1000         +675         DRIFT
338.44       2000         +1635        1000         +635         DRIFT
340.44       2000         +1645        1000         +645         DRIFT
342.44       2000         +1655        1000         +655         DRIFT
344.44       2000         +1665        1000         +665         DRIFT
346.44       2000         +1665        1000         +665         DRIFT
348.44       2000         +1625        1000         +625         DRIFT
350.44       2000         +1635        1000         +635         DRIFT
352.44       2000         +1645        1000         +645         DRIFT
354.44       2000         +1655        1000         +655         DRIFT
356.44       2000         +1655        1000         +655         DRIFT
358.44       2000         +1665        1000         +665         DRIFT
