Parsing SERVER log...
  Found 3350 SERVER activations
Parsing CLIENT log...
  Found 3340 CLIENT activations

================================================================================
BILATERAL TIMING ANALYSIS
================================================================================

Time (s)     Period (ms)  Delta (ms)   Target (ms)  Error (ms)   Status
--------------------------------------------------------------------------------
6.43         2000         5125         1000         +4125        DRIFT
6.45         2000         5105         1000         +4105        DRIFT
8.44         2000         3115         1000         +2115        DRIFT
8.44         2000         3115         1000         +2115        DRIFT
10.44        2000         1115         1000         +115         DRIFT
10.44        2000         1115         1000         +115         DRIFT
12.44        2000         -885         1000         -1885        OVERLAP
12.44        2000         1065         1000         +65          DRIFT
12.44        2000         1075         1000         +75          DRIFT
14.44        2000         -925         1000         -1925        OVERLAP
14.44        2000         1025         1000         +25          WARNING
14.44        2000         1035         1000         +35          WARNING
16.44        2000         -965         1000         -1965        OVERLAP
16.44        2000         1035         1000         +35          WARNING
16.45        2000         1025         1000         +25          WARNING
18.44        2000         -965         1000         -1965        OVERLAP
18.44        2000         1045         1000         +45          WARNING
18.44        2000         1045         1000         +45          WARNING
20.44        2000         -955         1000         -1955        OVERLAP
20.44        2000         1055         1000         +55          DRIFT
20.44        2000         1065         1000         +65          DRIFT
22.32        1000         -815         500          -1315        OVERLAP
22.32        1000         1185         500          +685         DRIFT
22.33        1000         1175         500          +675         DRIFT
23.32        1000         185          500          -315         OVERLAP
23.33        1000         175          500          -325         OVERLAP
23.64        667          -135         333          -468         OVERLAP
23.64        667          1875         333          +1542        DRIFT
23.65        667          1865         333          +1532        DRIFT
24.16        500          1355         250          +1105        DRIFT
24.17        500          1345         250          +1095        DRIFT
24.71        2000         805          1000         -195         OVERLAP
24.72        2000         795          1000         -205         OVERLAP
26.72        2000         -1205        1000         -2205        OVERLAP
26.72        2000         435          1000         -565         OVERLAP
26.74        2000         425          1000         -575         OVERLAP
28.73        2000         -745         1000         -1745        OVERLAP
28.73        2000         -735         1000         -1735        OVERLAP
28.73        2000         -185         1000         -1185        OVERLAP
28.73        2000         -175         1000         -1175        OVERLAP
28.73        2000         1045         1000         +45          WARNING
28.75        2000         1035         1000         +35          WARNING
30.74        2000         -955         1000         -1955        OVERLAP
30.74        2000         1025         1000         +25          WARNING
30.75        2000         1025         1000         +25          WARNING
32.75        2000         -975         1000         -1975        OVERLAP
32.75        2000         1045         1000         +45          WARNING
32.76        2000         1045         1000         +45          WARNING
34.76        2000         -955         1000         -1955        OVERLAP
34.76        2000         1065         1000         +65          DRIFT
36.76        2000         -925         1000         -1925        OVERLAP
36.76        2000         1055         1000         +55          DRIFT
38.76        2000         -945         1000         -1945        OVERLAP
38.76        2000         1015         1000         +15          WARNING
40.76        2000         -985         1000         -1985        OVERLAP
40.76        2000         975          1000         -25          WARNING
42.76        2000         -1025        1000         -2025        OVERLAP
42.76        2000         935          1000         -65          OVERLAP
44.76        2000         -1065        1000         -2065        OVERLAP
44.76        2000         885          1000         -115         OVERLAP
46.76        2000         -1115        1000         -2115        OVERLAP
46.76        2000         845          1000         -155         OVERLAP
48.76        2000         -1155        1000         -2155        OVERLAP
48.76        2000         805          1000         -195         OVERLAP
48.77        2000         795          1000         -205         OVERLAP
50.76        2000         -1195        1000         -2195        OVERLAP
50.76        2000         775          1000         -225         OVERLAP
50.78        2000         755          1000         -245         OVERLAP
52.77        2000         -1235        1000         -2235        OVERLAP
52.77        2000         925          1000         -75          OVERLAP
52.79        2000         915          1000         -85          OVERLAP
54.78        2000         -1075        1000         -2075        OVERLAP
54.78        2000         945          1000         -55          OVERLAP
54.79        2000         945          1000         -55          OVERLAP
56.79        2000         -1055        1000         -2055        OVERLAP
56.79        2000         965          1000         -35          WARNING
56.80        2000         965          1000         -35          WARNING
58.80        2000         -1035        1000         -2035        OVERLAP
58.80        2000         985          1000         -15          WARNING
60.80        2000         -1005        1000         -2005        OVERLAP
60.80        2000         985          1000         -15          WARNING
62.81        2000         -1025        1000         -2025        OVERLAP
62.81        2000         935          1000         -65          OVERLAP
64.81        2000         -1065        1000         -2065        OVERLAP
64.81        2000         945          1000         -55          OVERLAP
66.81        2000         -1055        1000         -2055        OVERLAP
66.81        2000         905          1000         -95          OVERLAP
68.81        2000         -1095        1000         -2095        OVERLAP
68.81        2000         865          1000         -135         OVERLAP
70.81        2000         -1135        1000         -2135        OVERLAP
70.81        2000         865          1000         -135         OVERLAP
72.81        2000         -1135        1000         -2135        OVERLAP
72.81        2000         825          1000         -175         OVERLAP
74.81        2000         -1175        1000         -2175        OVERLAP
74.81        2000         785          1000         -215         OVERLAP
76.81        2000         -1215        1000         -2215        OVERLAP
76.81        2000         795          1000         -205         OVERLAP
78.81        2000         -1205        1000         -2205        OVERLAP
78.81        2000         755          1000         -245         OVERLAP
80.81        2000         -1245        1000         -2245        OVERLAP
80.81        2000         705          1000         -295         OVERLAP
82.81        2000         -1295        1000         -2295        OVERLAP
82.81        2000         715          1000         -285         OVERLAP
84.81        2000         -1285        1000         -2285        OVERLAP
84.81        2000         675          1000         -325         OVERLAP
86.81        2000         -1325        1000         -2325        OVERLAP
86.81        2000         635          1000         -365         OVERLAP
88.81        2000         -1365        1000         -2365        OVERLAP
88.81        2000         645          1000         -355         OVERLAP
88.83        2000         625          1000         -375         OVERLAP
90.82        2000         -1365        1000         -2365        OVERLAP
