Parsing SERVER log...
  Found 3067 SERVER activations
Parsing CLIENT log...
  Found 3069 CLIENT activations

================================================================================
BILATERAL TIMING ANALYSIS
================================================================================

Time (s)     Period (ms)  Delta (ms)   Target (ms)  Error (ms)   Status
--------------------------------------------------------------------------------
12.04        2000         -5735        1000         -6735        OVERLAP
12.04        2000         -5715        1000         -6715        OVERLAP
12.04        2000         -3725        1000         -4725        OVERLAP
12.04        2000         -3725        1000         -4725        OVERLAP
12.04        2000         -1725        1000         -2725        OVERLAP
12.04        2000         -1725        1000         -2725        OVERLAP
12.04        2000         275          1000         -725         OVERLAP
12.04        2000         275          1000         -725         OVERLAP
14.00        2000         -1685        1000         -2685        OVERLAP
14.00        2000         315          1000         -685         OVERLAP
14.00        2000         315          1000         -685         OVERLAP
16.00        2000         -1685        1000         -2685        OVERLAP
16.00        2000         315          1000         -685         OVERLAP
16.01        2000         315          1000         -685         OVERLAP
18.01        2000         -1685        1000         -2685        OVERLAP
18.01        2000         315          1000         -685         OVERLAP
18.02        2000         305          1000         -695         OVERLAP
20.02        2000         -1695        1000         -2695        OVERLAP
20.02        2000         305          1000         -695         OVERLAP
20.02        2000         305          1000         -695         OVERLAP
21.98        2000         -1655        1000         -2655        OVERLAP
21.98        2000         345          1000         -655         OVERLAP
21.99        2000         335          1000         -665         OVERLAP
23.99        2000         -1665        1000         -2665        OVERLAP
23.99        2000         335          1000         -665         OVERLAP
24.00        2000         325          1000         -675         OVERLAP
26.00        2000         -1675        1000         -2675        OVERLAP
26.00        2000         325          1000         -675         OVERLAP
26.00        2000         325          1000         -675         OVERLAP
28.01        2000         -1685        1000         -2685        OVERLAP
28.01        2000         325          1000         -675         OVERLAP
28.01        2000         335          1000         -665         OVERLAP
29.97        2000         -1625        1000         -2625        OVERLAP
29.97        2000         365          1000         -635         OVERLAP
29.97        2000         375          1000         -625         OVERLAP
31.97        2000         -1625        1000         -2625        OVERLAP
31.97        2000         365          1000         -635         OVERLAP
31.98        2000         365          1000         -635         OVERLAP
33.93        2000         -1585        1000         -2585        OVERLAP
33.93        2000         405          1000         -595         OVERLAP
33.94        2000         405          1000         -595         OVERLAP
35.94        2000         -1595        1000         -2595        OVERLAP
35.94        2000         395          1000         -605         OVERLAP
35.94        2000         405          1000         -595         OVERLAP
37.95        2000         -1605        1000         -2605        OVERLAP
37.95        2000         385          1000         -615         OVERLAP
37.95        2000         385          1000         -615         OVERLAP
39.91        2000         -1575        1000         -2575        OVERLAP
39.91        2000         435          1000         -565         OVERLAP
39.91        2000         435          1000         -565         OVERLAP
41.92        2000         -1575        1000         -2575        OVERLAP
41.92        2000         425          1000         -575         OVERLAP
