fen4,source,encoding_sha256,l2_norm
"4d-fen v1: K@0,0,0,0; N@0,3,0,0; Q@1,1,1,1; R@2,2,2,2; B@3,0,0,0; b@4,7,7,7; r@5,5,5,5; q@6,6,6,6; n@7,4,7,7; k@7,7,7,7",self_play,832412c815171f1c0182048db05983e8764af1446e849efcfee4312e8894d9eb,16.548320770263672
"4d-fen v1: K@0,0,0,0; N@0,3,0,0; Q@1,7,1,7; R@2,2,2,2; B@3,0,0,0; b@4,7,7,7; r@5,5,5,5; q@6,6,6,6; n@7,4,7,7; k@7,7,7,7",self_play,6b38bcf6395637536e2a22e0b6d487ca46736dd2c61b54b0a64c95db5eb4e341,57.438385009765625
"4d-fen v1: K@0,0,0,0; N@0,3,0,0; Q@1,7,1,7; R@2,2,2,2; B@3,0,0,0; b@4,6,7,6; r@5,5,5,5; q@6,6,6,6; n@7,4,7,7; k@7,7,7,7",self_play,df6536e8be554f6c9a1e8b639c2583ae794f0b76e4c3e2cfe8452a8e77a7c694,57.221588134765625
"4d-fen v1: K@0,1,0,1; N@0,3,0,0; Q@1,7,1,7; R@2,2,2,2; B@3,0,0,0; b@4,6,7,6; r@5,5,5,5; q@6,6,6,6; n@7,4,7,7; k@7,7,7,7",self_play,f842ab2bec692a894ae6558e76f6ba282190d1c0a1259dd0ae8468bc0e3311b2,58.60214614868164
"4d-fen v1: K@0,1,0,1; N@0,3,0,0; Q@1,7,1,7; R@2,2,2,2; B@3,0,0,0; b@4,6,7,6; r@5,5,5,5; q@6,6,6,6; k@6,6,7,6; n@7,4,7,7",self_play,5d655331e8f1476628a9866587b998a72b1f80dda2574c147b28e89cfd705f69,59.822608947753906
"4d-fen v1: K@0,1,0,1; N@0,3,0,0; Q@1,7,1,7; R@2,2,1,2; B@3,0,0,0; b@4,6,7,6; r@5,5,5,5; q@6,6,6,6; k@6,6,7,6; n@7,4,7,7",self_play,05a02a474258ae726792722b21897adb9cac57cf9d6c13a362967f2deaf9508c,59.995399475097656
"4d-fen v1: K@0,1,0,1; N@0,3,0,0; Q@1,7,1,7; R@2,2,1,2; B@3,0,0,0; b@4,6,7,6; r@5,5,5,5; n@6,4,7,5; q@6,6,6,6; k@6,6,7,6",self_play,b738dae48331ac5e88bfd7e1909882fc682c911b051a4b790a5cb33afab00b80,59.90285873413086
"4d-fen v1: N@0,3,0,0; K@1,2,0,1; Q@1,7,1,7; R@2,2,1,2; B@3,0,0,0; b@4,6,7,6; r@5,5,5,5; n@6,4,7,5; q@6,6,6,6; k@6,6,7,6",self_play,c0ac90b2e328acadbaf4814d0784fc60291eeb5bf9adae8259d12752df84aad1,61.07985305786133
"4d-fen v1: N@0,3,0,0; K@1,2,0,1; b@1,3,7,6; Q@1,7,1,7; R@2,2,1,2; B@3,0,0,0; r@5,5,5,5; n@6,4,7,5; q@6,6,6,6; k@6,6,7,6",self_play,b284faed3367887957b26b6c13aea83ca151ddba9b2bb8cdd89a8b62b4e2b0ef,62.616878509521484
"4d-fen v1: N@0,3,0,0; K@1,2,0,1; b@1,3,7,6; Q@1,7,1,7; R@2,2,1,5; B@3,0,0,0; r@5,5,5,5; n@6,4,7,5; q@6,6,6,6; k@6,6,7,6",self_play,ca038fd36dcaf7424d461b9c224dfd4a05277d8c9fbfb330e7ee9ab49c73632f,64.21267700195312
"4d-fen v1: N@0,3,0,0; K@1,2,0,1; b@1,3,5,4; Q@1,7,1,7; R@2,2,1,5; B@3,0,0,0; r@5,5,5,5; n@6,4,7,5; q@6,6,6,6; k@6,6,7,6",self_play,3e5755b2ee45eefd5f9734a0ffdd7335728e6006aaf8c47dc793555a0c37ac94,63.05071258544922
