ply,move_from,move_to,dist_prev,cos_prev,dA1,E_A1,E_A2,E_B1,E_B2,E_E,E_F1,E_F2,E_F3,E_FA,E_FD,E_total,eval,clk,nag
0,255,255,0,0.0000,0,0,19.85,45.28,45.28,323,88.77,1851,1508,19.92,0,3900,,,
1,12,28,2.37,0.9993,0.612,0.375,19.97,45.28,45.28,322,85.16,1807,1476,22.11,0,3822,,,
2,52,36,2.62,0.9992,0.612,0,20.35,45.41,45.41,321,81.82,1760,1440,16.90,0,3730,,,
3,6,21,4.84,0.9970,1.22,1.50,20.85,45.41,45.41,317,77.77,1658,1384,16.90,0,3566,,,
4,62,45,4.84,0.9969,1.22,0,22.35,45.91,45.91,313,73.02,1550,1326,16.90,0,3392,,,
5,21,36,16.79,0.9594,1.80,3.25,22.35,44.91,44.91,312,70.83,1488,1260,17.49,253,3517,,,
6,51,43,2.56,0.9991,0.500,3.50,22.10,44.91,44.91,312,70.63,1493,1247,16.54,253,3508,,,
7,36,19,7.81,0.9914,1.22,1.50,23.10,45.16,45.16,312,72.08,1464,1317,16.54,253,3550,,,
8,45,28,16.69,0.9601,1.80,1.25,23.10,45.03,45.03,312,71.55,1405,1255,14.63,0,3172,,,
9,3,12,41.23,0.7381,4.40,22.81,12.54,45.03,45.03,290,227,1440,1216,14.63,0,3313,,,
10,59,52,42.31,0.6843,4.40,1.25,40.70,45.03,45.03,276,77.66,376,283,14.63,0,1160,,,
11,19,29,9.66,0.9592,0,1.25,40.70,45.03,45.03,276,82.36,332,286,14.63,0,1123,,,
12,57,42,7.72,0.9732,1.22,2.75,39.20,45.03,45.03,276,87.84,269,313,14.63,0,1093,,,
13,29,35,9.56,0.9585,1.22,1.75,38.20,45.03,45.03,280,95.91,281,308,14.63,0,1109,,,
14,42,27,9.51,0.9590,1.41,1.75,38.20,45.03,45.03,280,90.16,302,282,14.63,0,1099,,,
15,35,52,1382,0.0176,3.95,22.03,7.96,34.85,34.85,227,197,348,206,14.63,1908113,1909205,,,
16,27,12,1382,0.0174,3.95,1.75,6.88,25.67,25.67,188,13.55,167,175,14.63,0,618,,,
17,52,35,3.68,0.9892,1.22,0.750,4.88,25.67,25.67,194,14.57,174,173,14.63,0,628,,,
18,12,27,3.70,0.9892,1.22,1.75,3.88,25.67,25.67,194,15.20,183,173,14.63,0,637,,,
19,1,16,4.62,0.9834,1.00,1.75,3.88,25.67,25.67,194,14.67,157,147,14.63,0,584,,,
20,27,44,4.84,0.9804,1.22,1.75,3.88,25.67,25.67,194,14.26,157,167,14.63,0,604,,,
21,13,21,1.81,0.9973,0.612,2.12,4.00,25.67,25.67,193,13.67,157,165,15.66,0,602,,,
22,28,34,3.99,0.9870,1.22,5.12,5.00,25.17,25.17,189,15.15,155,179,15.66,0,615,,,
23,11,27,1.96,0.9969,0.612,6.25,4.88,24.92,24.92,189,13.97,151,171,16.55,0,602,,,
24,34,51,4.60,0.9825,1.00,4.75,4.38,25.42,25.42,189,15.81,156,168,16.55,0,605,,,
25,10,18,1.81,0.9973,0.612,5.88,4.25,25.30,25.30,188,15.89,156,166,15.15,0,602,,,
26,50,42,2.94,0.9928,0.612,4.75,4.38,25.42,25.42,189,16.29,155,161,17.24,0,598,,,
27,35,29,3.55,0.9895,1.22,1.75,4.38,26.17,26.17,189,19.06,165,154,17.24,0,602,,,
28,51,41,5.44,0.9754,1.00,2.25,4.88,25.92,25.92,189,15.44,167,153,17.24,0,601,,,
29,5,19,8.09,0.9447,1.70,2.59,6.92,25.92,25.92,184,13.41,112,104,17.24,0,492,,,
30,43,35,2.43,0.9940,0.612,3.07,5.94,26.05,26.05,184,14.14,114,105,18.44,0,497,,,
31,16,10,7.16,0.9493,1.00,3.27,6.14,25.70,25.70,186,9.56,117,120,18.44,0,512,,,
32,61,43,8.94,0.9189,1.70,0.375,14.81,25.70,25.70,175,16.02,71.70,65.99,18.44,0,414,,,
33,29,44,49.25,0.3564,0.707,0.875,18.71,25.55,25.55,159,5.43,70.26,65.20,18.44,2387,2776,,,
34,58,44,49.59,0.3382,2.26,3.27,6.14,25.05,25.05,176,3.54,48.58,47.35,18.44,0,353,,,
35,4,13,5.68,0.9538,1.25,4.20,5.20,25.05,25.05,176,2.63,24.08,18.41,18.44,0,299,,,
36,55,39,2.81,0.9868,0.500,5.08,4.83,25.05,25.05,175,4.17,25.80,19.01,16.58,0,300,,,
37,15,31,1.96,0.9936,0.500,4.20,4.95,25.36,25.36,174,3.11,26.33,19.04,16.58,0,299,,,
38,41,58,5.97,0.9437,1.00,4.25,5.90,25.11,25.11,174,7.12,39.15,28.49,16.58,0,325,,,
39,10,20,5.25,0.9580,1.00,1.80,5.95,25.11,25.11,178,7.76,42.44,26.31,16.58,0,329,,,
40,58,52,5.35,0.9555,1.00,3.50,4.25,25.11,25.11,178,3.75,26.71,16.79,16.58,0,300,,,
41,14,22,2.01,0.9932,0.612,4.25,3.50,25.24,25.24,177,3.01,27.23,16.00,16.67,0,298,,,
42,42,34,2.37,0.9906,0.612,5.48,3.28,25.11,25.11,176,3.96,27.91,16.45,15.09,0,299,,,
43,19,10,5.30,0.9527,1.70,12.53,3.70,24.26,24.26,168,3.61,25.78,18.14,15.09,0,296,,,
44,60,62,12.06,0.8091,3.54,18.88,5.26,23.64,23.64,157,39.64,73.22,63.64,15.09,0,420,,,
45,7,3,12.00,0.8193,3.31,15.23,11.60,26.61,26.61,128,47.38,42.79,55.86,15.09,0,369,,,
46,61,59,10.78,0.8305,2.70,12.53,26.18,25.93,25.93,110,18.56,29.50,34.44,15.09,0,298,,,
47,20,14,6.09,0.9364,1.22,15.93,25.18,25.93,25.93,105,15.93,24.75,28.44,15.09,0,282,,,
48,34,27,16.29,0.7172,1.06,15.11,25.06,25.98,25.98,105,16.75,24.06,41.92,13.76,253,546,,,
49,18,27,16.25,0.7190,1.12,13.36,25.06,26.23,26.23,104,14.79,24.14,27.25,13.95,0,275,,,
50,56,58,11.31,0.8268,3.31,19.70,33.29,22.59,22.59,104,49.48,72.87,65.50,13.95,0,404,,,
51,10,17,7.11,0.9354,0,19.70,37.54,21.95,21.95,101,23.78,48.68,65.84,13.95,0,354,,,
52,52,42,6.31,0.9449,1.22,19.20,37.04,21.95,21.95,103,27.23,57.41,65.55,13.95,0,367,,,
53,2,29,7.67,0.9200,1.70,18.01,32.45,23.39,23.39,103,36.26,35.62,82.15,13.95,0,368,,,
54,42,32,5.12,0.9639,1.22,18.51,26.55,24.74,24.74,103,36.60,20.83,58.18,13.95,0,327,,,
55,3,2,10.85,0.8426,2.70,21.21,26.55,24.07,24.07,103,80.16,47.61,60.49,13.95,0,401,,,
56,43,25,7.08,0.9359,1.70,21.21,26.55,24.07,24.07,103,77.28,47.75,39.28,13.95,0,377,,,
57,17,3,8.69,0.9006,1.70,12.80,29.02,25.56,25.56,103,81.56,48.46,43.68,13.95,0,383,,,
58,32,26,4.60,0.9783,1.00,11.80,34.42,24.71,24.71,101,110,71.79,63.00,13.95,0,455,,,
59,9,17,2.21,0.9948,0.612,12.30,35.17,24.52,24.52,99.69,94.48,69.66,58.03,14.09,0,432,,,
60,26,16,4.54,0.9772,1.00,12.30,40.57,23.17,23.17,99.69,70.13,46.25,41.20,14.09,0,371,,,
61,2,58,476,0.0127,1.91,13.24,21.53,22.22,22.22,85.11,10.72,8.16,20.87,14.09,226048,226266,,,
62,59,58,476,0.0118,4.27,19.59,16.00,16.55,16.55,70.53,41.27,17.74,12.85,14.09,0,225,,,
63,0,2,9.86,0.8043,3.31,5.95,29.63,16.55,16.55,70.53,67.04,25.19,19.19,14.09,0,265,,,
64,16,33,3.26,0.9799,1.00,7.65,22.53,17.90,17.90,70.53,68.26,24.99,19.19,14.09,0,263,,,
65,2,58,476,0.0069,1.91,11.30,11.60,14.26,14.26,55.95,9.11,5.55,5.64,14.09,226048,226190,,,
66,44,58,476,0.0149,3.34,10.54,10.84,9.17,9.17,41.37,1.81,4.01,3.65,14.09,0,105,,,
67,14,20,4.07,0.9250,1.22,13.74,9.64,8.92,8.92,39.37,8.05,6.35,4.83,14.09,0,114,,,
68,33,18,3.96,0.9328,1.22,11.54,10.84,9.17,9.17,39.37,8.58,8.07,8.23,14.09,0,119,,,
69,3,10,5.39,0.8760,1.70,14.52,6.17,9.17,9.17,42.77,8.04,6.29,4.92,14.09,0,115,,,
70,25,16,5.07,0.8895,1.70,17.41,9.06,7.72,7.72,42.77,8.23,5.82,4.92,14.09,0,118,,,
71,29,57,5.69,0.8575,1.70,13.58,14.58,7.30,7.30,42.77,1.55,3.07,4.61,14.09,0,109,,,
72,48,40,2.46,0.9726,0.500,15.76,11.16,7.61,7.61,42.77,2.08,5.58,4.53,14.13,0,111,,,
73,21,29,2.05,0.9813,0.612,17.13,10.78,7.36,7.36,42.77,2.33,6.93,2.98,15.30,0,113,,,
74,58,51,5.06,0.8840,1.70,13.39,8.74,8.81,8.81,42.77,1.98,4.73,3.09,15.30,0,108,,,
75,29,37,2.81,0.9632,0,13.39,9.74,8.56,8.56,42.77,3.80,3.82,4.43,11.99,0,107,,,
