ply,move_from,move_to,dist_prev,cos_prev,dA1,E_A1,E_A2,E_B1,E_B2,E_E,E_F1,E_F2,E_F3,E_FA,E_FD,E_total,eval,clk,nag
0,255,255,0,0.0000,0,0,19.85,45.28,45.28,323,88.77,1851,1508,19.92,0,3900,,,
1,11,27,1.81,0.9996,0.612,0.375,19.97,45.28,45.28,322,87.52,1851,1503,20.67,0,3894,0.15,3:00,
2,62,45,5.17,0.9967,1.22,1.88,20.47,45.28,45.28,318,82.98,1746,1453,20.67,0,3733,0.15,3:00,
3,6,21,5.18,0.9966,1.22,0.375,21.97,45.78,45.78,314,78.26,1636,1401,20.67,0,3564,0.11,2:59,
4,52,44,3.05,0.9988,0.500,0.375,21.97,45.78,45.78,314,74.77,1589,1367,18.72,0,3477,0.14,2:59,
5,10,26,2.20,0.9993,0.500,0.375,22.47,45.78,45.78,313,73.49,1551,1342,20.18,0,3414,0.11,2:58,
6,51,35,2.49,0.9991,0.612,0.250,22.60,45.91,45.91,312,72.12,1551,1337,20.11,0,3407,0.17,2:59,
7,1,18,8.60,0.9894,1.22,1.75,21.10,45.41,45.41,316,65.52,1355,1308,20.11,0,3179,0.08,2:58,
8,61,25,11.62,0.9807,1.70,3.79,23.14,45.83,45.83,304,58.38,1077,1089,20.11,0,2667,0.16,2:58,
9,26,35,16.95,0.9504,1.06,4.92,22.76,45.46,45.46,304,64.28,1093,1127,14.04,253,2974,0.06,2:57,
10,44,35,16.99,0.9502,1.06,3.79,22.64,45.58,45.58,303,57.56,1076,1088,15.92,0,2658,0.07,2:58,
11,2,29,10.49,0.9810,1.70,3.79,22.64,45.58,45.58,303,52.29,865,893,15.92,0,2247,0.00,2:57,
12,45,28,5.45,0.9936,1.41,7.79,22.64,45.33,45.33,297,52.15,823,807,15.92,0,2116,0.03,2:57,
13,0,2,18.99,0.9191,3.31,18.73,26.28,45.33,45.33,268,74.29,864,940,15.92,0,2298,0.00,2:56,
14,57,42,10.17,0.9776,1.22,15.23,25.78,45.83,45.83,272,72.45,650,937,15.92,0,2080,0.00,2:55,
15,15,23,2.41,0.9986,0.500,16.83,27.38,45.16,45.16,271,67.27,653,931,17.13,0,2073,-0.36,2:49,
16,54,38,3.18,0.9976,0.612,17.80,28.11,45.28,45.28,266,60.71,683,942,16.76,0,2105,0.41,2:49,?!
17,29,15,8.21,0.9840,1.70,16.95,27.26,45.28,45.28,270,53.86,666,963,16.76,0,2105,0.25,2:48,
18,55,39,2.97,0.9979,0.500,17.80,30.06,44.50,44.50,269,52.46,645,944,14.94,0,2062,0.68,2:49,
19,21,11,6.05,0.9911,1.22,15.60,32.26,45.00,45.00,265,62.93,607,899,14.94,0,1986,0.59,2:31,
20,42,27,19.32,0.9127,1.80,21.85,32.26,43.25,43.25,264,68.03,691,789,13.96,253,2221,3.51,2:48,??
21,11,28,49.42,0.7010,2.12,17.05,30.06,43.75,43.75,266,62.11,769,815,13.96,2735,4797,3.49,2:29,
22,35,28,49.07,0.7061,1.00,19.05,30.06,42.75,42.75,262,61.56,728,789,11.09,253,2240,3.20,2:48,
23,12,20,2.61,0.9985,0.500,20.15,31.16,42.20,42.20,262,59.15,719,759,10.79,253,2199,1.28,2:05,?
24,27,42,10.09,0.9768,1.41,17.15,31.16,42.95,42.95,262,51.78,606,884,10.79,253,2202,1.36,2:47,
25,3,59,1382,0.2297,3.11,24.63,28.52,35.47,35.47,158,59.77,396,247,10.79,1936358,1937353,0.47,1:51,?!
26,60,59,1382,0.3876,3.11,17.15,8.16,24.37,24.37,147,15.77,89.68,142,10.79,253,732,0.55,2:45,
27,8,16,1.95,0.9974,0.500,18.15,7.16,24.37,24.37,147,18.79,92.06,141,10.03,253,736,0.36,1:50,
28,25,18,49.67,0.4230,2.96,23.15,4.87,22.52,22.52,149,11.69,92.32,105,10.03,2544,2984,0.31,2:44,
29,2,18,161,-0.1858,4.80,12.40,1.22,23.95,23.95,143,6.42,70.40,81.81,10.03,19791,20164,0.44,1:50,
30,58,51,7.30,0.9987,1.70,17.84,4.96,23.10,23.10,131,3.93,33.25,42.01,10.03,19791,20081,0.62,2:37,
31,5,26,6.66,0.9989,1.70,16.99,5.81,23.10,23.10,131,3.22,28.76,41.25,10.03,19791,20075,0.58,1:47,
32,53,45,2.46,0.9998,0.612,15.42,5.69,22.85,22.85,137,2.93,27.38,40.16,11.37,19791,20076,1.03,2:35,
33,4,6,11.77,0.9966,3.54,47.32,10.02,18.22,18.22,101,32.20,55.64,65.40,11.37,19791,20151,0.94,1:38,
34,59,58,4.99,0.9994,1.25,42.07,6.02,18.85,18.85,115,31.44,68.35,54.27,11.37,19791,20157,1.65,2:34,?!
35,9,25,1.91,0.9999,0.612,40.84,5.04,19.27,19.27,116,31.80,70.07,51.10,12.65,19791,20157,1.55,1:28,
36,48,40,2.46,0.9999,0.500,41.09,5.99,19.27,19.27,113,26.70,71.56,48.08,10.65,19791,20147,1.71,2:31,
37,26,35,13.36,0.9956,2.08,39.99,3.70,19.70,19.70,117,90.84,110,69.80,10.65,19791,20272,1.57,1:24,
38,63,60,9.88,0.9976,3.31,23.11,5.99,23.34,23.34,117,119,119,84.12,10.65,19791,20317,1.64,2:04,
39,5,2,8.32,0.9983,0,23.11,10.04,24.02,24.02,103,98.43,115,94.09,10.65,19791,20293,1.26,1:23,
40,58,59,5.59,0.9992,1.25,31.11,4.54,23.39,23.39,103,84.53,91.52,114,10.65,19791,20278,1.68,1:51,
41,18,26,10.15,0.9975,3.31,36.92,9.54,21.37,21.37,97.81,31.44,66.02,83.50,10.65,19791,20170,1.57,1:15,
42,45,37,2.56,0.9998,0.612,34.19,8.06,21.74,21.74,103,35.25,73.01,83.54,13.37,19791,20185,1.83,1:47,
43,2,3,8.08,0.9984,2.70,20.83,6.85,21.74,21.74,132,35.27,73.40,80.71,13.37,19791,20197,1.08,0:59,?!
44,59,58,5.91,0.9991,1.25,19.58,5.60,22.37,22.37,132,53.88,94.80,64.30,13.37,19791,20220,1.64,1:41,
45,16,24,2.05,0.9999,0.500,19.95,5.97,22.05,22.05,133,46.43,86.35,63.80,15.33,19791,20206,1.27,0:56,
46,42,36,5.07,0.9994,1.41,17.55,5.97,22.65,22.65,133,24.54,67.52,76.52,15.33,19791,20177,1.23,1:35,
47,15,36,49.40,0.9628,2.96,22.35,6.65,20.53,20.53,131,20.57,64.65,45.38,15.33,27822,28169,1.57,0:33,
48,60,36,161,0.3574,4.80,19.84,10.30,21.73,21.73,96.43,3.91,6.17,6.40,15.33,253,455,1.42,1:35,
49,35,49,19.43,0.5133,2.78,32.67,10.30,19.31,19.31,88.13,27.03,82.43,7.40,18.05,0,305,1.48,0:31,
50,58,49,161,0.0665,3.08,27.61,9.52,17.86,17.86,88.25,0.829,19.58,30.25,18.05,25893,26123,1.30,1:35,
51,3,51,161,0.0708,3.65,26.16,8.07,16.42,16.42,82.47,1.46,19.94,36.84,18.05,0,226,1.29,0:31,
52,56,58,8.61,0.8501,3.31,22.52,11.72,16.42,16.42,82.47,5.12,19.47,68.89,18.05,0,261,1.44,1:35,
53,14,30,1.85,0.9934,0.612,24.99,10.49,16.42,16.42,79.97,4.34,19.30,65.11,18.45,0,255,1.30,0:29,
54,39,30,16.21,0.6964,0.791,22.42,13.32,16.29,16.29,78.47,5.08,19.23,71.50,14.43,253,510,1.31,1:33,
55,23,30,16.19,0.6974,0.791,26.59,9.39,16.17,16.17,76.97,3.98,19.27,63.75,13.24,0,246,1.25,0:29,
56,37,29,2.34,0.9888,0,26.59,12.59,16.04,16.04,71.57,4.22,19.24,66.37,10.71,0,243,1.28,1:28,
57,51,53,7.87,0.8725,2.70,25.24,13.94,16.04,16.04,71.57,3.83,19.24,65.08,10.71,0,242,1.03,0:27,
58,29,21,1.80,0.9933,0.612,26.97,12.22,16.04,16.04,71.57,3.34,19.26,61.42,12.19,0,239,2.30,1:28,?
59,53,37,8.15,0.8578,2.70,35.61,20.86,15.37,15.37,42.41,4.25,20.09,60.56,12.19,0,227,1.94,0:22,
