index,run_id,result,n_moves,n_plies,white,black,white_elo,black_elo,event,date,source_tc,chaos_ratio,nag_count,blunder_count,mistake_count,has_eval,has_clk,mean_A1,mean_A2,mean_B1,mean_B2,mean_E,mean_F1,mean_F2,mean_F3,mean_FA,mean_FD,pgn_bytes,ndjson_bytes,spectralz_bytes,error
1,sweep_chain_lichess_drnykterstein_2026-04-14_N10,0-1,68,137,respects_55,DrNykterstein,2644,3145,Take Take Take Arena,2026.04.08,,2.1438,0,0,0,True,True,18.5719,11.1821,8.9607,22.0707,118.0109,31.9606,229.7418,209.2356,11.5881,18561.3477,6068,24445,62565,
2,sweep_chain_lichess_drnykterstein_2026-04-14_N10,0-1,27,55,respects_55,Anowari,2572,2014,Take Take Take Arena,2026.04.08,,3.7623,0,0,0,True,True,16.3689,27.2935,18.7237,39.022,216.4147,115.9691,629.8658,578.4664,13.3152,96739.2578,2667,10666,39413,
3,sweep_chain_lichess_drnykterstein_2026-04-14_N10,0-1,29,59,MATEVZ_2014,Anowari,1963,1980,rated blitz game,2026.04.14,,2.2998,0,0,0,False,True,26.4578,28.0315,12.5078,53.5339,211.3846,366.1999,607.2523,522.5596,16.5689,85361.1406,2053,10554,43795,
4,sweep_chain_lichess_drnykterstein_2026-04-14_N10,0-1,44,89,MATEVZ_2014,MarioBarinas,1957,1957,rated blitz game,2026.04.14,,7.9323,0,0,0,False,True,17.1523,18.2671,18.2312,25.2992,166.4994,52.9966,410.8906,476.0631,14.3865,207207.375,2892,15134,54522,
5,sweep_chain_lichess_drnykterstein_2026-04-14_N10,0-1,45,91,ChristophBarsch,MarioBarinas,2036,1949,rated blitz game,2026.04.14,,5.7228,0,0,0,False,True,24.1024,25.4022,23.3161,31.4388,179.8041,130.3898,501.0734,450.5262,15.3812,88434.0625,2978,15682,61732,
6,sweep_chain_lichess_drnykterstein_2026-04-14_N10,1-0,44,88,Romulus48,ChristophBarsch,2038,2042,rated blitz game,2026.04.14,,4.0264,0,0,0,False,True,20.6135,32.893,17.4444,51.6989,196.2434,141.9767,441.6659,376.9207,12.4917,61139.5586,2944,15345,62425,
7,sweep_chain_lichess_drnykterstein_2026-04-14_N10,0-1,28,57,Romulus48,karanzil,2051,2031,rated blitz game,2026.04.14,,1.7078,0,0,0,False,True,26.6497,27.5336,21.2407,48.6039,224.9725,101.1882,646.579,734.7319,12.3376,26662.8203,2033,10387,44062,
8,sweep_chain_lichess_drnykterstein_2026-04-14_N10,1-0,24,48,karanzil,donerizo,2042,2028,rated blitz game,2026.04.14,,2.7169,0,0,0,False,True,27.2199,20.2138,13.6898,32.7261,231.2888,113.6399,552.5955,552.6753,15.8436,21291.6113,1759,8639,34273,
9,sweep_chain_lichess_drnykterstein_2026-04-14_N10,1-0,32,64,donerizo,MasxxX,2017,1996,rated blitz game,2026.04.14,,1.8587,0,0,0,False,True,19.5118,29.531,18.5869,50.0696,234.0863,180.8741,484.8704,483.6765,21.2603,9267.0908,2205,11595,49970,
10,sweep_chain_lichess_drnykterstein_2026-04-14_N10,1-0,54,108,MachInsufferable,MasxxX,2023,1995,rated blitz game,2026.04.14,,14.4017,0,0,0,True,True,15.0249,14.5206,7.604,24.5816,126.8548,46.5802,228.5934,219.5896,12.4205,251019.6094,4757,19859,60903,
