index,run_id,result,n_moves,n_plies,white,black,white_elo,black_elo,event,date,source_tc,chaos_ratio,nag_count,blunder_count,mistake_count,has_eval,has_clk,mean_A1,mean_A2,mean_B1,mean_B2,mean_E,mean_F1,mean_F2,mean_F3,mean_FA,mean_FD,pgn_bytes,ndjson_bytes,spectralz_bytes,error
1,sweep_hf_2026-04-14_N10_seed42,1/2-1/2,44,89,New-b1b6fff3d5,Base-66b271e938,,,Batch 0: simpleStatHist vs master,2020.12.11,60.0,3.6302,0,0,0,False,False,14.8409,29.513,30.5774,30.5774,156.2066,111.5163,449.676,343.1455,8.5986,41811.3555,2477,16653,53914,
2,sweep_hf_2026-04-14_N10_seed42,1/2-1/2,39,80,Base-66b271e938,New-b1b6fff3d5,,,Batch 0: simpleStatHist vs master,2020.12.11,60.0,0.882,0,0,0,False,False,10.1249,33.3707,39.5968,39.5968,210.3705,219.7197,382.955,278.1878,21.1595,24564.5664,2289,15458,53764,
3,sweep_hf_2026-04-14_N10_seed42,1/2-1/2,48,98,New-b1b6fff3d5,Base-66b271e938,,,Batch 0: simpleStatHist vs master,2020.12.11,60.0,1.3186,0,0,0,False,False,16.2342,17.6519,27.5168,27.5168,125.4645,86.4401,256.3344,240.2768,17.1478,22201.127,2687,18128,54411,
4,sweep_hf_2026-04-14_N10_seed42,1/2-1/2,64,129,Base-66b271e938,New-b1b6fff3d5,,,Batch 0: simpleStatHist vs master,2020.12.11,60.0,4.9006,0,0,0,False,False,15.1329,15.6947,21.8499,21.8499,97.9236,80.7981,153.2872,115.1781,13.2062,54472.1797,3416,22841,65189,
5,sweep_hf_2026-04-14_N10_seed42,1/2-1/2,50,101,New-b1b6fff3d5,Base-66b271e938,,,Batch 0: simpleStatHist vs master,2020.12.11,60.0,6.2961,0,0,0,False,False,21.6971,21.001,33.2758,33.2758,151.5128,82.5692,234.3211,271.7587,10.5883,63744.7344,2777,18345,62473,
6,sweep_hf_2026-04-14_N10_seed42,1/2-1/2,57,116,Base-66b271e938,New-b1b6fff3d5,,,Batch 0: simpleStatHist vs master,2020.12.11,60.0,4.8845,0,0,0,False,False,15.7382,20.8224,29.1343,29.1343,130.6202,80.7759,219.0297,204.6347,7.3245,30288.3711,3123,21052,65756,
7,sweep_hf_2026-04-14_N10_seed42,1/2-1/2,81,163,New-b1b6fff3d5,Base-66b271e938,,,Batch 0: simpleStatHist vs master,2020.12.11,60.0,15.6479,0,0,0,False,False,16.0435,12.8337,22.2904,22.2904,97.8718,46.6483,151.9798,156.1846,7.8565,109576.0469,4234,28505,77556,
8,sweep_hf_2026-04-14_N10_seed42,1/2-1/2,40,81,Base-66b271e938,New-b1b6fff3d5,,,Batch 0: simpleStatHist vs master,2020.12.11,60.0,1.4162,0,0,0,False,False,15.9803,17.2635,25.8181,25.8181,133.9737,60.5489,270.3958,301.25,11.5433,27214.8418,2294,14928,46972,
9,sweep_hf_2026-04-14_N10_seed42,1/2-1/2,60,122,New-b1b6fff3d5,Base-66b271e938,,,Batch 0: simpleStatHist vs master,2020.12.11,60.0,1.2886,0,0,0,False,False,25.8869,24.479,37.5578,37.5578,177.101,113.6678,257.8568,268.0809,15.2552,6516.7178,3255,22899,81344,
10,sweep_hf_2026-04-14_N10_seed42,1/2-1/2,56,114,New-b1b6fff3d5,Base-66b271e938,,,Batch 0: simpleStatHist vs master,2020.12.11,60.0,4.9369,0,0,0,False,False,17.6705,14.448,25.0781,25.0781,123.9477,108.7642,208.7755,189.8702,14.1967,33098.4375,3076,20595,59242,
