ply,side,san,piece_moved,nag,eval_before,eval_after,dEval_mover,S_before,S_after,dS,dS_mover,mover_exposed,dE_A1,dE_A2,dE_B1,dE_B2,dE_E,dE_F1,dE_F2,dE_F3,dE_FA,dE_FD
1,w,Nf3,N,,0.00,0.10,0.100,0.0000,-14.6000,-14.6000,-14.6000,h2,1.5000,0.5000,0.0000,0.0000,-4.0000,-4.1983,-104.3103,-50.6133,0.0000,0.0000
2,b,c6,P,,0.10,0.28,-0.180,-14.6000,-7.8000,6.8000,-6.8000,h7,-0.6250,0.1250,0.0000,0.0000,1.0000,-1.1462,-45.8608,-29.6214,2.1468,0.0000
3,w,g3,P,,0.28,0.11,-0.170,-7.8000,-11.2000,-3.4000,-3.4000,a2,0.6250,-0.1250,0.0000,0.0000,-1.0000,-0.3836,-2.9296,-0.3702,0.0024,-0.0000
4,b,d5,P,,0.11,0.17,-0.060,-11.2000,-3.3000,7.9000,-7.9000,h7,0.3750,0.1250,0.0000,0.0000,-1.0000,-1.1691,-0.3037,-4.5406,-2.6378,0.0000
5,w,c4,P,,0.17,0.14,-0.030,-3.3000,-8.7000,-5.4000,-5.4000,g3,-0.2500,0.2500,0.1250,0.1250,-1.0000,-1.6624,-36.6862,-25.5859,0.0819,-0.0000
6,b,Nf6,N,,0.14,0.22,-0.080,-8.7000,5.9000,14.6000,-14.6000,h7,-0.5000,1.5000,0.2500,0.2500,-4.0000,-5.2465,-108.4373,-49.8092,0.0000,0.0000
7,w,cxd5,P,,0.22,-0.10,-0.320,5.9000,2.5000,-3.4000,-3.4000,g3,-0.1250,-0.1250,-0.1250,-0.1250,-0.5000,2.2276,10.6610,-14.4473,-4.0480,253.0967
8,b,cxd5,P,,-0.10,-0.14,0.040,2.5000,4.5000,2.0000,-2.0000,a7,-0.2500,0.0000,0.1250,0.1250,-2.5000,-2.6421,-13.9179,14.0096,0.1708,-253.0967
9,w,Bg2,B,,-0.14,-0.03,0.110,4.5000,-23.7200,-28.2200,-28.2200,g3,2.6350,1.4450,-0.0000,-0.0000,-8.1600,-14.1634,-245.7353,-201.7201,0.0000,0.0000
10,b,g5,P,?,-0.03,1.44,-1.470,-23.7200,-23.7200,0.0000,-0.0000,d5,1.3250,-0.1250,-0.1750,-0.1750,-1.0000,1.9311,46.4457,26.9892,-2.2648,-0.0000
11,w,O-O,K,?!,1.44,0.81,-0.630,-23.7200,13.7400,37.4600,37.4600,g3,7.9075,5.9925,0.0000,0.0000,-27.8000,7.3523,72.9841,172.0199,0.0000,0.0000
12,b,g4,P,,0.81,0.99,-0.180,13.7400,20.5400,6.8000,-6.8000,f7,0.0000,0.5000,-0.1250,-0.1250,0.0000,-2.6520,-78.0123,-34.7077,-1.6046,0.0000
13,w,Ne5,N,,0.99,0.98,-0.010,20.5400,-19.6600,-40.2000,-40.2000,h2,1.0000,0.0000,-0.2500,-0.2500,0.0000,1.9578,-33.8636,-42.3593,0.0000,-0.0000
14,b,Nc6,N,,0.98,0.92,0.060,-19.6600,4.7400,24.4000,-24.4000,g4,4.7500,-0.2500,-0.5000,-0.5000,-5.0000,0.1477,-267.1533,-79.7204,0.0000,0.0000
15,w,d4,P,,0.92,0.94,0.020,4.7400,-2.6600,-7.4000,-7.4000,e5,0.8750,0.6250,0.0000,0.0000,-3.0000,-0.1354,7.8520,-12.8522,0.5618,-0.0000
16,b,h5,P,,0.94,1.13,-0.190,-2.6600,6.1400,8.8000,-8.8000,c6,2.0000,4.1500,-1.4125,-1.4125,-1.0000,0.6952,-12.7244,-7.6782,-2.0575,0.0000
17,w,Nc3,N,,1.13,1.27,0.140,6.1400,-9.4600,-15.6000,-15.6000,e5,-5.2500,1.2500,0.5000,0.5000,4.0000,-6.4850,-21.3040,3.9399,0.0000,-0.0000
18,b,h4,P,,1.27,1.49,-0.220,-9.4600,-25.0600,-15.6000,15.6000,c6,0.0000,-7.5500,1.8875,1.8875,0.0000,1.3708,63.1095,30.3290,-2.2101,-0.0000
19,w,Bg5,B,,1.49,1.10,-0.390,-25.0600,-81.5000,-56.4400,-56.4400,e5,0.3400,7.1400,-0.4250,-0.4250,-11.5600,42.2163,-7.8678,-183.2989,0.0000,0.0000
20,b,h3,P,,1.10,1.08,0.020,-81.5000,-76.1000,5.4000,-5.4000,c6,-0.2750,5.1250,-1.2125,-1.2125,0.0000,-5.8406,-48.5555,-33.5240,-0.8517,0.0000
21,w,Bh1,B,,1.08,1.08,0.000,-76.1000,-49.5800,26.5200,26.5200,g5,-9.1800,0.0000,0.4250,0.4250,14.9600,13.5723,-68.8428,-28.3287,0.0000,-0.0000
22,b,Bg7,B,,1.08,1.11,-0.030,-49.5800,-53.3200,-3.7400,3.7400,c6,2.2950,-3.9950,0.0000,0.0000,3.4000,-5.2262,-340.7562,-203.4959,0.0000,-0.0000
23,w,Qa4,Q,,1.11,0.99,-0.120,-53.3200,-160.6800,-107.3600,-107.3600,g5,0.0000,-27.7200,9.6800,9.6800,-22.0000,45.9901,326.2488,83.9229,0.0000,0.0000
24,b,Bd7,B,?!,0.99,1.84,-0.850,-160.6800,-144.3600,16.3200,-16.3200,c6,1.7000,0.0000,1.4450,1.4450,-14.9600,18.5751,-118.0161,30.1391,0.0000,-0.0000
25,w,Qb3,Q,?,1.84,0.51,-1.330,-144.3600,-252.6000,-108.2400,-108.2400,g5,27.0600,16.0600,-10.7800,-10.7800,0.0000,-22.9729,22.3428,-43.6929,0.0000,-0.0000
26,b,Nxd4,N,,0.51,0.55,-0.040,-252.6000,-260.8000,-8.2000,8.2000,f7,-1.7500,0.0000,-0.5000,-0.5000,5.5000,-12.5125,252.4508,28.3186,-0.1451,253.0967
27,w,Qxb7,Q,,0.55,0.58,0.030,-260.8000,-114.6000,146.2000,146.2000,g5,-4.5300,-11.8800,3.9150,3.9150,-0.5000,237.9681,498.1261,-148.5128,-1.4827,-253.0967
28,b,Rc8,R,?!,0.58,1.70,-1.120,-114.6000,-151.3200,-36.7200,36.7200,g7,-0.4050,-4.9950,0.0000,0.0000,10.8000,21.4368,-302.6033,65.7370,0.0000,0.0000
29,w,Rad1,R,?,1.70,0.35,-1.350,-151.3200,-98.4000,52.9200,52.9200,g5,-13.5000,12.1500,2.2950,2.2950,-15.6600,-68.1097,-109.4993,-206.0116,0.0000,0.0000
30,b,Ne6,N,??,0.35,2.25,-1.900,-98.4000,-120.8000,-22.4000,22.4000,g7,0.5000,0.5000,0.2500,0.2500,-4.0000,18.0604,-185.7700,17.6919,0.0000,-0.0000
31,w,Bxf6,B,,2.25,2.25,0.000,-120.8000,-37.6800,83.1200,83.1200,g5,9.5850,-1.1050,-1.5200,-1.5200,-12.8000,75.3482,-152.3765,22.2690,0.0000,2386.7442
32,b,Bxf6,B,,2.25,2.27,-0.020,-37.6800,-162.8000,-125.1200,125.1200,g7,6.9700,0.0000,-5.1850,-5.1850,4.4200,-124.9037,182.6197,134.0969,0.0000,15570.9715
33,w,Nxd7,N,,2.27,1.76,-0.510,-162.8000,-123.6000,39.2000,39.2000,c3,-2.2950,3.1050,-1.6950,-1.6950,-11.1800,-136.9770,-603.7280,-187.1548,0.0000,-15570.9715
34,b,Qxd7,Q,,1.76,1.70,0.060,-123.6000,31.0000,154.6000,-154.6000,f7,8.5800,-14.9800,-0.5000,-0.5000,8.8000,93.3277,-28.1444,-365.0744,0.0000,-2386.7442
35,w,Qxd7+,Q,,1.70,1.56,-0.140,31.0000,254.5200,223.5200,223.5200,b7,-28.1600,13.2000,-8.5800,-8.5800,-56.3200,-9.7601,-284.3849,71.2004,0.0000,1908112.6224
36,b,Kxd7,K,,1.56,1.80,-0.240,254.5200,66.0600,-188.4600,188.4600,d5,-3.4800,-14.7800,-9.6800,-9.6800,-40.9200,-210.0003,-79.1345,-172.9419,0.0000,-1908112.6224
37,w,Nxd5,N,,1.80,1.76,-0.040,66.0600,84.4600,18.4000,18.4000,c3,3.1500,0.0000,-0.1250,-0.1250,-7.3000,18.7369,-2.1880,0.5944,-0.2704,253.0967
38,b,Ke8,K,,1.76,1.81,-0.050,84.4600,59.9600,-24.5000,24.5000,f6,-4.0000,-1.5000,-0.0000,-0.0000,11.0000,-2.8507,-6.5974,22.6604,0.0000,0.0000
39,w,Nxf6+,N,,1.81,1.59,-0.220,59.9600,58.1600,-1.8000,-1.8000,b2,-2.8900,0.0000,-1.4450,-1.4450,-5.7800,-14.8765,-11.7067,20.7859,0.0000,24217.1471
40,b,exf6,P,,1.59,1.57,0.020,58.1600,48.2600,-9.9000,9.9000,f7,-0.8750,-0.6250,-0.3750,-0.3750,-2.0000,-4.8777,1.1725,-28.1491,2.6829,-7839.7332
41,w,Bd5,B,,1.57,1.19,-0.380,48.2600,53.3600,5.1000,5.1000,h2,9.1800,0.0000,-2.2950,-2.2950,0.0000,-6.2422,17.3701,2.0291,0.0000,-0.0000
42,b,Ke7,K,,1.19,1.18,0.010,53.3600,72.8600,19.5000,-19.5000,e6,3.3750,4.6250,-0.3125,-0.3125,-13.5000,0.8070,-8.8059,-18.9587,0.0000,0.0000
43,w,Rd2,R,,1.18,0.94,-0.240,72.8600,28.0400,-44.8200,-44.8200,h2,-3.3750,-6.0750,0.6750,0.6750,13.5000,-15.6805,3.5352,-38.4265,0.0000,-0.0000
44,b,f5,P,,0.94,0.95,-0.010,28.0400,30.5400,2.5000,-2.5000,f7,0.3750,-0.3750,0.0000,0.0000,0.0000,-0.0625,-2.3724,1.0406,0.0937,0.0000
45,w,Rfd1,R,,0.95,0.95,0.000,30.5400,77.5200,46.9800,46.9800,g3,8.6400,5.9400,0.0000,0.0000,-29.1600,-0.2515,5.3684,25.6455,0.0000,0.0000
46,b,Rhd8,R,,0.95,0.90,0.050,77.5200,45.6600,-31.8600,31.8600,e6,-10.9350,10.9350,0.0000,0.0000,0.0000,5.2017,-12.0170,-10.9326,0.0000,0.0000
47,w,Kf1,K,,0.90,0.79,-0.110,45.6600,45.6600,0.0000,0.0000,g3,-4.6250,-3.3750,0.3125,0.3125,13.5000,-0.4904,0.3183,-0.2756,0.0000,0.0000
48,b,a5,P,,0.79,1.31,-0.520,45.6600,45.6600,0.0000,-0.0000,d8,0.5000,-2.7000,0.6750,0.6750,-1.0000,0.0000,0.0000,0.0000,-0.3733,-0.0000
49,w,f3,P,?!,1.31,0.72,-0.590,45.6600,41.1600,-4.5000,-4.5000,g3,0.1250,-0.1250,0.0000,0.0000,0.0000,-2.7085,-2.4521,-0.0082,0.3138,0.0000
