ply,side,san,piece_moved,nag,eval_before,eval_after,dEval_mover,S_before,S_after,dS,dS_mover,mover_exposed,dE_A1,dE_A2,dE_B1,dE_B2,dE_E,dE_F1,dE_F2,dE_F3,dE_FA,dE_FD
1,w,d4,P,,0.00,0.15,0.150,0.0000,-7.9000,-7.9000,-7.9000,h2,0.3750,0.1250,0.0000,0.0000,-1.0000,-1.2576,-0.0869,-5.1282,0.7528,0.0000
2,b,Nf6,N,,0.15,0.15,-0.000,-7.9000,6.7000,14.6000,-14.6000,h7,1.5000,0.5000,0.0000,0.0000,-4.0000,-4.5368,-105.1714,-49.3698,0.0000,0.0000
3,w,Nf3,N,,0.15,0.11,-0.040,6.7000,-7.9000,-14.6000,-14.6000,d4,-1.5000,1.5000,0.5000,0.5000,-4.0000,-4.7227,-109.3305,-52.1413,0.0000,-0.0000
4,b,e6,P,,0.11,0.14,-0.030,-7.9000,3.4000,11.3000,-11.3000,a7,0.0000,0.0000,0.0000,0.0000,0.0000,-3.4865,-47.5785,-34.0993,-1.9489,-0.0000
5,w,c4,P,,0.14,0.11,-0.030,3.4000,-2.0000,-5.4000,-5.4000,a2,0.0000,0.5000,0.0000,0.0000,-1.0000,-1.2826,-37.8566,-24.9533,1.4503,-0.0000
6,b,d5,P,,0.11,0.17,-0.060,-2.0000,5.9000,7.9000,-7.9000,a7,-0.1250,0.1250,0.1250,0.1250,-1.0000,-1.3661,-0.0713,-4.5447,-0.0668,0.0000
7,w,Nc3,N,,0.17,0.08,-0.090,5.9000,-9.7000,-15.6000,-15.6000,a2,1.5000,-1.5000,-0.5000,-0.5000,4.0000,-6.5999,-195.6711,-29.0101,0.0000,0.0000
8,b,Bb4,B,,0.08,0.16,-0.080,-9.7000,53.5400,63.2400,-63.2400,a7,2.0400,2.0400,0.4250,0.4250,-11.5600,-7.1425,-278.5418,-219.6168,0.0000,0.0000
9,w,cxd5,P,,0.16,0.06,-0.100,53.5400,50.1400,-3.4000,-3.4000,c3,1.1250,-0.3750,-0.3750,-0.3750,-0.5000,5.8985,16.7656,37.8926,-6.0681,253.0967
10,b,exd5,P,,0.06,0.07,-0.010,50.1400,53.5400,3.4000,-3.4000,g7,-1.1250,-0.1250,0.1250,0.1250,-0.5000,-6.7140,-17.7453,-38.6525,1.8815,-253.0967
