name,family,symmetry,n_stmts,n_rules_static,n_cmds_static,exec_steps,n_segments,n_pendown,bbox_w,bbox_h,aspect,f2_self_sim_raw,f2_self_sim_deflated,E_A1,E_A2,E_B1,E_B2,E_E,geom_norm
triangle,polygon,D3,3,8,3,17,3,3,69.28,80.00,0.866,0.608,0.426,1075,0.513,211,211,949,49.46
square,polygon,D4,3,8,3,22,4,4,60.00,60.00,1.000,0.670,0.481,2184,0,0,0,0,46.74
pentagon,polygon,D5,3,8,3,27,5,5,76.94,80.90,0.951,0.788,0.426,2124,0.543,89.10,89.10,535,53.28
hexagon,polygon,D6,3,8,3,32,6,6,69.28,80.00,0.866,0.855,0.428,2230,0.099,90.12,90.12,5.27,49.14
octagon,polygon,D8,3,8,3,42,8,8,72.43,72.43,1.00,0.824,0.276,2738,0,0.067,0.067,0.270,52.33
dodecagon,polygon,D12,3,8,3,62,12,12,74.64,74.64,1.00,0.823,0.556,3023,0,0,0,0,54.98
circle,polygon,SO2,3,8,3,1802,360,360,115,115,1.00,0.816,0.688,25216,0,0,0,0,159
spiral_lin,spiral,spiral,5,14,7,544,60,60,286,317,0.904,0.896,0.323,69633,177,928,928,4458,276
spiral_square,spiral,spiral,5,14,7,364,40,40,200,195,1.03,0.826,0.321,286324,8.99,707,707,2709,539
spiral_tight,spiral,spiral,5,14,7,724,80,80,743,832,0.893,0.801,0.416,299325,4209,11898,11898,54710,618
rosette_6,fractal,D6,5,13,5,152,24,24,81.96,81.96,1.00,0.634,0.242,14930,0.500,524,524,761,129
rosette_8,fractal,D8,5,13,5,162,24,24,50.00,50.00,1.000,0.736,0.619,10519,577,71.79,71.79,510,108
star_5,fractal,D5,3,8,3,27,5,5,76.08,80.00,0.951,0.535,0.279,4172,0.513,257,257,1457,78.38
nested_squares,fractal,D4,7,15,7,164,30,24,20.00,70.00,0.286,0.842,0.498,4976,0.353,612,612,1.63,78.75
proc_poly,procedures,D7,5,15,8,55,7,7,65.72,67.41,0.975,0.841,0.136,1942,0.920,23.60,23.60,162,46.39
proc_two_polys,procedures,mixed,9,22,11,78,10,9,34.64,90.00,0.385,0.672,0.300,1293,21.84,163,163,497,46.23
dashed_line,freestyle,C1,5,10,5,72,20,10,0,150,0,0.368,0.420,496,0,170,170,783,40.22
zigzag,freestyle,translation,5,12,5,74,16,16,113,273,0.414,0.447,0.732,4906,56.79,1293,1293,790,91.31
cond_guard,freestyle,D5,5,13,6,31,5,5,30.78,32.36,0.951,0.786,0.014,351,0.554,16.48,16.48,91.97,21.82
only_pen,degenerate,none,4,5,4,4,0,0,0,0,,0,0.031,0,0,0,0,0,0
only_bind,degenerate,none,2,5,2,4,0,0,0,0,,0,-0.237,0,0,0,0,0,0
