ply,norm_total,E_magn_A1minus,E_magn_A2minus,E_magn_B1minus,E_magn_B2minus,E_magn_Eminus,E_occ_A1plus,E_occ_A2plus,E_occ_B1plus,E_occ_B2plus,E_occ_Eplus,E_fiber_ortho_s,E_fiber_diag_s
0,808.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,608.0,192.0
1,722.0,1.125,0.125,0.125,1.125,2.5,4.125,0.125,0.125,0.125,0.5,360.0,352.0
2,1196.0,0.375,0.125,0.125,4.375,1.0,4.375,0.125,0.125,0.375,1.0,936.0,248.0
3,1094.0,1.75,0.0,0.0,1.75,3.5,4.75,0.0,0.0,0.75,1.5,608.0,472.0
4,1320.0,0.375,0.125,1.125,0.375,6.0,5.375,0.125,0.125,0.375,2.0,464.0,840.0
5,1714.0,1.25,0.0,2.0,1.25,4.5,6.25,0.0,0.0,0.25,2.5,600.0,1096.0
6,1764.0,0.375,0.125,1.125,0.375,8.0,7.375,0.125,0.125,0.375,2.0,672.0,1072.0
7,1982.0,1.125,0.125,1.125,2.125,6.5,8.125,0.125,0.125,0.125,2.5,736.0,1224.0
8,1984.0,1.5,0.5,2.0,2.0,6.0,9.5,0.5,0.0,0.0,2.0,824.0,1136.0
9,1970.0,1.125,0.125,0.625,2.625,8.5,9.625,0.625,0.125,0.125,2.5,800.0,1144.0
10,1972.0,4.5,1.0,2.0,1.5,5.0,10.0,0.5,0.5,0.0,3.0,808.0,1136.0
11,2062.0,5.125,0.625,2.625,1.125,5.5,10.125,0.625,0.625,0.125,3.5,744.0,1288.0
12,1640.0,7.75,1.25,0.75,1.25,5.0,11.75,0.25,0.75,0.25,3.0,568.0,1040.0
13,2010.0,1.125,0.625,1.125,1.625,12.5,13.625,0.125,0.625,0.125,2.5,688.0,1288.0
14,2108.0,0.75,1.25,0.75,2.25,13.0,13.75,0.25,0.75,0.25,3.0,784.0,1288.0
15,2198.0,1.375,0.875,1.375,1.875,13.5,13.875,0.375,0.875,0.375,3.5,800.0,1360.0
16,2056.0,2.5,0.5,0.5,3.5,13.0,14.5,0.5,1.5,0.5,3.0,888.0,1128.0
17,2602.0,1.375,1.375,1.375,2.375,14.5,15.375,0.375,2.375,0.375,2.5,880.0,1680.0
18,2068.0,4.125,0.875,0.875,6.125,10.0,16.625,0.375,2.375,0.625,2.0,800.0,1224.0
19,2798.0,2.875,0.875,0.875,10.875,7.5,18.375,0.375,2.375,0.375,1.5,1424.0,1328.0
20,2872.0,6.0,1.0,2.0,7.0,8.0,19.5,0.5,1.5,0.5,2.0,1352.0,1472.0
21,2978.0,7.375,1.375,4.375,6.375,5.5,19.875,0.875,1.875,0.875,1.5,1304.0,1624.0
22,3284.0,8.0,2.0,5.0,3.0,8.0,20.5,0.5,1.5,1.5,2.0,1168.0,2064.0
23,3758.0,3.375,1.375,4.375,6.375,11.5,21.375,0.375,1.375,2.375,1.5,1752.0,1952.0
24,3880.0,3.75,1.75,1.75,3.75,17.0,21.75,0.75,1.75,2.75,1.0,1840.0,1984.0
25,3602.0,4.625,0.625,1.125,5.125,17.5,22.125,1.125,1.625,2.625,1.5,1624.0,1920.0
26,3652.0,3.75,1.75,1.75,6.75,16.0,22.75,0.75,1.75,2.75,2.0,1608.0,1984.0
27,3622.0,6.625,3.125,2.625,4.125,14.5,24.125,0.625,1.125,2.625,2.5,1448.0,2112.0
28,3576.0,7.25,3.75,3.25,4.75,13.0,24.25,0.75,1.25,2.75,3.0,1424.0,2088.0
29,3346.0,6.375,2.375,5.375,10.375,8.5,25.875,0.875,0.875,2.875,2.5,1432.0,1848.0
30,4220.0,7.75,1.75,4.75,9.75,10.0,27.75,0.75,0.75,2.75,2.0,1984.0,2168.0
31,4670.0,7.625,1.625,2.125,8.125,15.5,28.625,0.625,1.125,3.125,1.5,2048.0,2552.0
32,4832.0,3.75,3.75,1.75,9.75,17.0,29.75,0.75,0.75,3.75,1.0,2000.0,2760.0
33,4882.0,4.875,3.875,1.875,6.875,19.5,30.375,0.375,0.375,4.375,1.5,2184.0,2624.0
34,4884.0,3.75,5.25,1.75,5.25,22.0,31.25,0.75,0.25,3.75,2.0,2336.0,2472.0
35,4510.0,3.375,4.875,4.375,1.875,24.5,32.375,0.875,0.375,2.875,2.5,2216.0,2216.0
36,4152.0,3.25,4.25,5.75,3.75,23.0,33.75,0.75,0.25,2.25,3.0,1760.0,2312.0
37,3706.0,3.375,5.875,4.875,2.375,24.5,34.875,0.375,0.375,2.875,2.5,1512.0,2112.0
38,3660.0,4.75,3.75,3.75,2.75,27.0,35.25,0.25,0.25,3.25,3.0,1504.0,2072.0
39,4326.0,9.0,3.75,3.75,3.0,23.5,35.5,0.25,0.25,3.5,3.5,2080.0,2160.0
40,5536.0,7.375,3.625,4.625,6.375,22.0,36.875,0.125,0.125,2.875,4.0,2568.0,2880.0
41,6018.0,9.5,3.25,7.25,5.5,19.5,38.5,0.25,0.25,2.5,3.5,2552.0,3376.0
42,5044.0,8.75,3.25,7.25,8.75,18.0,38.75,0.25,0.25,2.75,4.0,1888.0,3064.0
43,4702.0,7.375,2.375,7.375,8.375,21.5,39.375,0.375,0.375,3.375,3.5,1712.0,2896.0
44,4144.0,6.25,2.25,6.25,10.25,23.0,41.25,0.25,0.25,3.25,3.0,1504.0,2544.0
45,4018.0,6.5,2.75,4.75,8.5,26.5,42.0,0.25,0.25,4.0,2.5,1368.0,2552.0
46,4364.0,8.25,2.75,4.75,10.25,24.0,42.75,0.25,0.25,4.75,2.0,1736.0,2528.0
47,4086.0,7.125,2.625,4.625,9.125,27.5,43.625,0.125,0.125,5.625,1.5,1432.0,2552.0
