ply,norm_total,E_magn_A1minus,E_magn_A2minus,E_magn_B1minus,E_magn_B2minus,E_magn_Eminus,E_occ_A1plus,E_occ_A2plus,E_occ_B1plus,E_occ_B2plus,E_occ_Eplus,E_fiber_ortho_s,E_fiber_diag_s
0,808.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,608.0,192.0
1,722.0,1.125,0.125,0.125,1.125,2.5,4.125,0.125,0.125,0.125,0.5,360.0,352.0
2,940.0,0.0,0.0,0.5,0.5,5.0,4.5,0.5,0.0,0.0,1.0,320.0,608.0
3,918.0,1.25,0.0,0.5,1.75,3.5,4.75,0.5,0.0,0.25,1.5,432.0,472.0
4,1384.0,0.375,0.125,1.125,0.375,6.0,5.375,0.125,0.125,0.375,2.0,456.0,912.0
5,1426.0,1.25,0.5,2.0,1.75,3.5,6.25,0.5,0.0,0.75,1.5,560.0,848.0
6,1764.0,0.375,1.125,1.125,1.375,6.0,7.375,0.125,0.125,0.375,2.0,904.0,840.0
7,1758.0,2.125,1.125,1.125,3.125,3.5,8.125,0.125,0.125,1.125,1.5,760.0,976.0
8,1800.0,0.375,1.125,1.125,7.375,2.0,9.375,0.125,0.125,0.375,2.0,936.0,840.0
9,1642.0,1.25,0.5,0.5,5.25,5.5,10.75,0.0,0.0,0.75,1.5,848.0,768.0
10,2100.0,0.875,2.125,2.125,2.875,6.0,10.875,0.125,0.125,0.875,2.0,952.0,1120.0
11,2294.0,0.75,2.5,0.0,3.25,8.5,11.25,0.0,0.5,0.75,2.5,1072.0,1192.0
12,2328.0,0.375,1.125,0.625,2.875,11.0,11.375,0.125,0.625,0.875,3.0,1096.0,1200.0
13,1906.0,1.0,0.75,1.25,2.5,11.5,11.5,0.25,0.75,1.0,3.5,960.0,912.0
14,1924.0,1.375,0.625,1.125,0.875,14.0,11.875,0.125,0.625,1.375,4.0,952.0,936.0
15,2230.0,3.5,2.25,0.25,4.5,8.5,12.5,0.25,0.25,1.5,4.5,1216.0,976.0
16,2240.0,2.375,2.125,2.125,4.375,9.0,13.375,0.125,0.125,1.375,5.0,1168.0,1032.0
17,2442.0,3.25,3.0,0.5,4.75,9.5,13.75,0.5,0.0,1.25,5.5,1448.0,952.0
18,2388.0,3.375,2.625,2.125,3.875,10.0,14.375,0.625,0.125,0.875,6.0,1224.0,1120.0
19,2638.0,4.0,3.25,0.75,4.5,10.5,14.5,0.75,0.25,1.0,6.5,1328.0,1264.0
20,3520.0,3.125,3.375,0.375,6.125,11.0,15.125,0.375,0.375,1.125,7.0,2544.0,928.0
21,4162.0,1.75,2.0,1.0,8.75,11.5,15.25,0.5,0.5,1.25,7.5,3328.0,784.0
22,4620.0,1.875,2.625,0.625,7.875,13.0,16.875,0.625,0.625,0.875,7.0,3168.0,1400.0
23,4070.0,3.0,2.75,3.75,7.0,10.5,18.0,0.75,0.75,1.0,6.5,2728.0,1288.0
24,4808.0,0.875,2.125,1.625,7.375,16.0,19.375,0.625,1.125,0.875,6.0,2768.0,1984.0
25,4090.0,1.75,3.5,2.5,6.75,14.5,19.75,0.5,1.5,0.75,6.5,2360.0,1672.0
26,3652.0,1.375,2.625,3.125,4.875,18.0,21.375,0.625,1.125,0.875,6.0,2192.0,1400.0
27,3550.0,1.25,2.5,3.0,5.75,18.5,22.25,0.5,1.0,0.75,6.5,1992.0,1496.0
28,3392.0,0.875,1.625,5.625,6.875,17.0,22.875,0.625,0.625,0.875,7.0,1584.0,1744.0
29,2986.0,5.25,2.0,5.0,8.25,12.5,24.75,0.5,0.5,0.75,6.5,1592.0,1328.0
30,4244.0,1.125,1.875,7.875,5.125,18.0,26.625,0.375,0.375,0.625,6.0,1744.0,2432.0
31,4670.0,1.5,4.75,3.75,7.5,17.5,27.5,0.75,0.75,0.5,5.5,2392.0,2208.0
32,4432.0,1.875,3.625,7.125,8.375,15.0,28.375,1.125,0.625,0.875,5.0,2136.0,2224.0
33,4250.0,2.5,2.75,2.75,9.5,19.5,29.5,0.75,0.75,0.5,5.5,1952.0,2224.0
34,4772.0,2.625,4.375,1.375,7.625,22.0,30.625,0.375,0.375,0.625,6.0,2328.0,2368.0
35,4718.0,4.5,2.75,2.25,7.0,22.5,31.0,0.25,0.75,0.5,6.5,2280.0,2360.0
36,4664.0,5.375,1.625,1.625,5.375,26.0,32.375,0.625,0.625,0.375,6.0,2360.0,2224.0
37,5002.0,4.5,1.75,2.25,5.0,27.5,34.0,0.25,0.75,0.5,5.5,2688.0,2232.0
38,4668.0,5.375,1.625,1.625,6.375,27.0,35.375,0.625,0.625,0.375,5.0,2328.0,2256.0
39,4854.0,9.5,3.75,1.75,5.5,22.5,36.5,0.75,0.75,0.5,4.5,2176.0,2592.0
40,5224.0,7.375,7.125,3.125,6.375,20.0,37.875,0.625,0.625,0.875,4.0,2440.0,2696.0
41,4970.0,6.5,8.25,3.75,5.0,21.5,39.5,0.25,0.75,1.0,3.5,2384.0,2496.0
42,5860.0,4.125,4.375,1.375,7.125,29.0,40.125,0.375,1.375,1.125,3.0,3728.0,2040.0
43,5566.0,5.875,4.375,1.375,6.875,28.5,41.875,0.375,1.375,0.875,2.5,3312.0,2160.0
44,6184.0,4.75,4.25,4.25,6.75,28.0,43.75,0.25,1.25,0.75,2.0,3448.0,2640.0
45,6146.0,5.125,3.125,3.125,7.125,30.5,44.625,0.625,0.625,0.625,2.5,3704.0,2344.0
46,5556.0,3.375,3.125,3.125,9.375,31.0,44.875,0.625,0.625,0.875,3.0,3040.0,2416.0
47,5622.0,2.0,3.25,6.25,11.0,28.5,46.5,0.75,0.75,0.5,2.5,2856.0,2664.0
