game,ply,black,white,empty,rho,disc_diff,a1_minus_energy,b1_energy,b2_energy,d4_a1_occupation_energy,n_legal_moves,max_flip_count,mean_flip_count
0,0,2,2,60,0.0625,0,0.0,0.0,4.0,4.0,4,1,1.0
0,1,4,1,59,0.078125,3,1.1249999999999998,0.125,1.125,4.125000000000001,3,1,1.0
0,2,3,3,58,0.09375,0,0.0,0.5,0.5,4.499999999999999,5,1,1.0
0,3,5,2,57,0.109375,3,1.2500000000000002,0.5,1.75,4.750000000000001,4,2,1.25
0,4,4,4,56,0.125,0,0.37499999999999994,1.125,0.375,5.375,6,1,1.0
0,5,6,3,55,0.140625,3,1.2500000000000002,2.0,1.75,6.25,6,2,1.5
0,6,5,5,54,0.15625,0,0.37499999999999994,1.125,1.375,7.375,11,2,1.2727272727272727
0,7,7,4,53,0.171875,3,2.125,1.125,3.125,8.125,7,3,1.8571428571428572
0,8,6,6,52,0.1875,0,0.37499999999999994,1.125,7.375,9.375,11,2,1.4545454545454546
0,9,8,5,51,0.203125,3,1.2500000000000002,0.5,5.25,10.749999999999998,7,3,1.7142857142857142
0,10,6,8,50,0.21875,-2,0.875,2.125,2.875,10.875,11,2,1.5454545454545454
0,11,9,6,49,0.234375,3,0.7499999999999999,0.0,3.25,11.250000000000002,12,4,1.75
0,12,8,8,48,0.25,0,0.37499999999999994,0.625,2.875,11.375,13,3,1.6923076923076923
0,13,10,7,47,0.265625,3,1.0,1.25,2.5,11.5,12,4,1.8333333333333333
0,14,9,9,46,0.28125,0,1.375,1.125,0.875,11.875,11,5,2.3636363636363638
0,15,13,6,45,0.296875,7,3.5,0.25,4.5,12.500000000000002,9,4,2.6666666666666665
0,16,12,8,44,0.3125,4,2.3749999999999996,2.125,4.375,13.375,14,4,1.5
0,17,14,7,43,0.328125,7,3.2499999999999996,0.5,4.75,13.75,11,6,2.727272727272727
0,18,13,9,42,0.34375,4,3.375,2.125,3.875,14.375,13,4,1.7692307692307692
0,19,15,8,41,0.359375,7,4.0,0.75,4.5,14.500000000000002,9,4,2.888888888888889
0,20,12,12,40,0.375,0,3.1250000000000004,0.375,6.125,15.124999999999998,13,5,2.3076923076923075
0,21,15,10,39,0.390625,5,1.7500000000000002,1.0,8.75,15.249999999999998,7,3,1.7142857142857142
0,22,13,13,38,0.40625,0,1.875,0.625,7.875,16.875,15,5,1.8666666666666667
0,23,18,9,37,0.421875,9,2.9999999999999996,3.75,7.0,17.999999999999996,6,3,1.8333333333333333
0,24,16,12,36,0.4375,4,0.875,1.625,7.375,19.375,18,4,1.8888888888888888
0,25,18,11,35,0.453125,7,1.7500000000000002,2.5,6.75,19.75,10,3,1.6
0,26,17,13,34,0.46875,4,1.375,3.125,4.875,21.375,17,4,2.0588235294117645
0,27,19,12,33,0.484375,7,1.2500000000000002,3.0,5.75,22.249999999999996,7,5,2.5714285714285716
0,28,18,14,32,0.5,4,0.875,5.625,6.875,22.875000000000004,13,4,2.1538461538461537
0,29,21,12,31,0.515625,9,5.25,5.0,8.25,24.75,9,5,2.4444444444444446
0,30,18,16,30,0.53125,2,1.1249999999999998,7.875,5.125,26.625000000000004,13,6,2.3846153846153846
0,31,21,14,29,0.546875,7,1.4999999999999998,3.75,7.5,27.5,12,5,2.0
0,32,20,16,28,0.5625,4,1.875,7.125,8.375,28.375,12,6,2.25
0,33,23,14,27,0.578125,9,2.5000000000000004,2.75,9.5,29.5,10,6,2.6
0,34,20,18,26,0.59375,2,2.625,1.375,7.625,30.624999999999996,10,5,2.6
0,35,23,16,25,0.609375,7,4.499999999999999,2.25,7.0,30.999999999999996,10,5,2.3
0,36,22,18,24,0.625,4,5.375,1.625,5.375,32.375,8,5,2.75
0,37,24,17,23,0.640625,7,4.499999999999999,2.25,5.0,34.0,11,5,1.9090909090909092
0,38,23,19,22,0.65625,4,5.375,1.625,6.375,35.37499999999999,6,5,2.8333333333333335
0,39,28,15,21,0.671875,13,9.499999999999998,1.75,5.5,36.5,9,5,2.5555555555555554
0,40,27,17,20,0.6875,10,7.375,3.125,6.375,37.875,6,3,2.1666666666666665
0,41,29,16,19,0.703125,13,6.499999999999999,3.75,5.0,39.5,8,5,3.25
0,42,24,22,18,0.71875,2,4.125000000000001,1.375,7.125,40.125,5,3,2.4
0,43,27,20,17,0.734375,7,5.875000000000001,1.375,6.875,41.875,7,4,2.4285714285714284
0,44,24,24,16,0.75,0,4.750000000000001,4.25,6.75,43.75,7,3,1.7142857142857142
0,45,27,22,15,0.765625,5,5.125000000000001,3.125,7.125,44.625,7,3,2.2857142857142856
0,46,25,25,14,0.78125,0,3.375,3.125,9.375,44.875,6,4,2.5
0,47,27,24,13,0.796875,3,2.0000000000000004,6.25,11.0,46.49999999999999,6,6,3.0
0,48,23,29,12,0.8125,-6,5.375,5.625,7.375,48.375,8,4,3.0
0,49,28,25,11,0.828125,3,5.749999999999999,4.0,7.75,50.25,3,3,2.6666666666666665
0,50,25,29,10,0.84375,-4,2.875,1.625,7.875,51.37499999999999,7,4,2.4285714285714284
0,51,27,28,9,0.859375,-1,2.75,1.0,10.25,52.74999999999999,4,3,2.25
0,52,26,30,8,0.875,-4,2.5000000000000004,1.5,9.0,53.0,6,4,2.5
0,53,30,27,7,0.890625,3,3.6250000000000004,2.125,10.625,54.62499999999999,3,6,3.6666666666666665
0,54,24,34,6,0.90625,-10,8.375,2.125,6.375,55.37499999999999,4,7,3.75
0,55,27,32,5,0.921875,-5,8.75,1.5,3.75,57.25000000000001,2,3,2.5
0,56,25,35,4,0.9375,-10,13.5,2.0,3.5,58.50000000000001,3,7,3.6666666666666665
0,57,33,28,3,0.953125,5,13.75,7.5,4.75,59.25,1,3,3.0
0,58,30,32,2,0.96875,-2,22.0,7.0,5.0,60.99999999999999,2,3,2.5
0,59,33,30,1,0.984375,3,20.25,7.0,2.25,62.24999999999999,0,0,0.0
0,60,33,30,1,0.984375,3,20.25,7.0,2.25,62.24999999999999,1,3,3.0
0,61,37,27,0,1.0,10,25.999999999999996,7.0,4.0,64.0,0,0,0.0
1,0,2,2,60,0.0625,0,0.0,0.0,4.0,4.0,4,1,1.0
1,1,4,1,59,0.078125,3,1.1249999999999998,0.125,1.125,4.125000000000001,3,1,1.0
1,2,3,3,58,0.09375,0,0.0,0.5,0.5,4.499999999999999,5,1,1.0
1,3,5,2,57,0.109375,3,1.1249999999999998,1.125,1.125,5.125000000000001,4,2,1.25
1,4,3,5,56,0.125,-2,1.0,0.5,1.5,5.999999999999999,5,2,1.4
1,5,5,4,55,0.140625,1,0.12500000000000003,0.125,0.125,7.125,11,2,1.1818181818181819
1,6,4,6,54,0.15625,-2,1.375,0.125,1.375,7.375,9,2,1.3333333333333333
1,7,6,5,53,0.171875,1,0.7499999999999999,0.0,0.75,8.75,9,3,1.5555555555555556
1,8,5,7,52,0.1875,-2,2.5000000000000004,0.0,2.5,9.499999999999998,9,2,1.4444444444444444
1,9,8,5,51,0.203125,3,3.1250000000000004,0.125,3.125,11.125,8,3,1.875
1,10,6,8,50,0.21875,-2,3.375,0.125,1.375,12.375,10,2,1.6
1,11,8,7,49,0.234375,1,3.5,0.25,2.5,12.500000000000002,10,4,1.8
1,12,6,10,48,0.25,-4,2.625,0.375,0.625,12.625,10,4,2.2
1,13,8,9,47,0.265625,-1,1.0,0.25,1.0,12.999999999999998,12,4,1.9166666666666667
1,14,7,11,46,0.28125,-4,0.6250000000000001,0.875,0.625,13.124999999999998,10,4,2.1
1,15,10,9,45,0.296875,1,1.7500000000000002,2.5,2.75,13.75,12,4,2.0833333333333335
1,16,9,11,44,0.3125,-2,4.125000000000001,2.375,3.125,14.125,14,3,1.7857142857142858
1,17,12,9,43,0.328125,3,8.5,5.25,1.0,15.000000000000002,11,4,2.1818181818181817
1,18,10,12,42,0.34375,-2,5.125000000000001,3.375,2.625,15.625,11,4,2.0
1,19,13,10,41,0.359375,3,3.5,5.75,2.0,16.500000000000004,15,4,2.4
1,20,10,14,40,0.375,-4,1.1249999999999998,2.375,1.625,16.625,12,3,1.9166666666666667
1,21,14,11,39,0.390625,3,2.75,2.0,4.25,17.75,11,5,2.4545454545454546
1,22,13,13,38,0.40625,0,1.875,3.625,2.875,18.875,10,5,2.4
1,23,17,10,37,0.421875,7,5.749999999999999,2.0,4.25,19.250000000000004,10,5,2.7
1,24,16,12,36,0.4375,4,4.499999999999999,2.0,3.0,21.0,13,3,1.8461538461538463
1,25,18,11,35,0.453125,7,5.375,1.375,4.875,22.375000000000004,10,5,3.0
1,26,17,13,34,0.46875,4,6.25,2.75,3.25,22.75,14,4,1.7857142857142858
1,27,19,12,33,0.484375,7,6.875,3.875,4.875,24.374999999999996,12,6,2.9166666666666665
1,28,18,14,32,0.5,4,8.000000000000002,1.5,3.5,25.0,13,4,1.8461538461538463
1,29,21,12,31,0.515625,9,13.375,1.875,3.375,26.375000000000004,11,7,3.6363636363636362
1,30,19,15,30,0.53125,4,11.999999999999998,1.5,0.5,28.000000000000004,13,4,1.6923076923076923
1,31,21,14,29,0.546875,7,11.875,1.875,0.375,28.875,12,6,4.0
1,32,16,20,28,0.5625,-4,9.499999999999998,2.0,2.5,29.5,12,4,1.8333333333333333
1,33,20,17,27,0.578125,3,10.625000000000002,5.625,3.625,30.624999999999996,12,6,3.6666666666666665
1,34,16,22,26,0.59375,-6,5.000000000000001,10.0,3.0,32.5,13,5,2.1538461538461537
1,35,19,20,25,0.609375,-1,8.875,6.875,1.375,33.875,14,7,2.7857142857142856
1,36,18,22,24,0.625,-4,8.25,9.75,2.25,34.74999999999999,12,4,1.9166666666666667
1,37,21,20,23,0.640625,1,6.374999999999999,8.875,2.375,34.87499999999999,13,6,2.769230769230769
1,38,19,23,22,0.65625,-4,7.5,4.5,6.0,36.0,11,4,2.0
1,39,21,22,21,0.671875,-1,8.125,7.125,5.125,37.625,11,5,2.3636363636363638
1,40,20,24,20,0.6875,-4,10.000000000000002,6.0,5.0,37.99999999999999,11,4,2.0
1,41,23,22,19,0.703125,1,8.375,6.875,5.375,39.37499999999999,11,5,2.727272727272727
1,42,19,27,18,0.71875,-8,11.0,6.5,4.0,40.00000000000001,9,4,1.8888888888888888
1,43,24,23,17,0.734375,1,10.375000000000002,3.875,3.375,41.875,8,4,2.5
1,44,22,26,16,0.75,-4,10.5,2.5,5.5,43.5,9,4,1.8888888888888888
1,45,25,24,15,0.765625,1,6.374999999999999,4.875,4.375,44.37500000000001,7,4,2.5714285714285716
1,46,22,28,14,0.78125,-6,5.625,4.875,7.625,44.625,8,2,1.375
1,47,24,27,13,0.796875,-3,4.499999999999999,3.75,7.5,46.49999999999999,6,5,2.3333333333333335
1,48,23,29,12,0.8125,-6,6.25,3.75,4.25,47.25,5,6,3.0
1,49,27,26,11,0.828125,1,3.5,3.75,11.5,47.5,6,5,2.1666666666666665
1,50,26,28,10,0.84375,-2,4.625,4.375,10.625,48.625,3,9,3.6666666666666665
