game,ply,side_to_move,n_empties,disc_diff_black_white,a1_minus_energy,edax_score_shallow,edax_score_deep,depth_gap
0,0,1,60,0,0.0,-4,-1,3
0,1,-1,59,3,1.1249999999999998,4,-1,5
0,2,1,58,0,0.0,-2,0,2
0,3,-1,57,3,1.2500000000000002,5,0,5
0,4,1,56,0,0.37499999999999994,-1,-1,0
0,5,-1,55,3,1.2500000000000002,3,0,3
0,6,1,54,0,0.37499999999999994,1,-1,2
0,7,-1,53,3,2.125,2,0,2
0,8,1,52,0,0.37499999999999994,-1,-2,1
0,9,-1,51,3,1.2500000000000002,1,1,0
0,10,1,50,-2,0.875,0,-2,2
0,11,-1,49,3,0.7499999999999999,3,1,2
0,12,1,48,0,0.37499999999999994,0,-2,2
0,13,-1,47,3,1.0,3,1,2
0,14,1,46,0,1.375,-2,-3,1
0,15,-1,45,7,3.5,1,1,0
0,16,1,44,4,2.3749999999999996,-1,-2,1
0,17,-1,43,7,3.2499999999999996,4,1,3
0,18,1,42,4,3.375,-1,0,1
0,19,-1,41,7,4.0,1,-3,4
0,20,1,40,0,3.1250000000000004,4,1,3
0,21,-1,39,5,1.7500000000000002,6,-1,7
0,22,1,38,0,1.875,2,-1,3
0,23,-1,37,9,2.9999999999999996,13,-1,14
0,24,1,36,4,0.875,-2,-3,1
0,25,-1,35,7,1.7500000000000002,3,-1,4
0,26,1,34,4,1.375,7,-1,8
0,27,-1,33,7,1.2500000000000002,1,-1,2
0,28,1,32,4,0.875,5,-1,6
0,29,-1,31,9,5.25,1,-1,2
0,30,1,30,2,1.1249999999999998,5,0,5
0,31,-1,29,7,1.4999999999999998,7,4,3
0,32,1,28,4,1.875,-1,0,1
0,33,-1,27,9,2.5000000000000004,6,4,2
0,34,1,26,2,2.625,0,2,2
0,35,-1,25,7,4.499999999999999,3,-2,5
0,36,1,24,4,5.375,-2,4,6
0,37,-1,23,7,4.499999999999999,4,4,0
0,38,1,22,4,5.375,-5,-2,3
0,39,-1,21,13,9.499999999999998,10,2,8
0,40,1,20,10,7.375,-4,-2,2
0,41,-1,19,13,6.499999999999999,3,2,1
0,42,1,18,2,4.125000000000001,2,-2,4
0,43,-1,17,7,5.875000000000001,-1,2,3
0,44,1,16,0,4.750000000000001,7,10,3
0,45,-1,15,5,5.125000000000001,-3,-10,7
0,46,1,14,0,3.375,2,10,8
0,47,-1,13,3,2.0000000000000004,-2,-10,8
0,48,1,12,-6,5.375,8,10,2
0,49,-1,11,3,5.749999999999999,-6,-10,4
0,50,1,10,-4,2.875,5,10,5
0,51,-1,9,-1,2.75,1,-10,11
0,52,1,8,-4,2.5000000000000004,0,10,10
0,53,-1,7,3,3.6250000000000004,5,-10,15
0,54,1,6,-10,8.375,4,10,6
0,55,-1,5,-5,8.75,-11,-10,1
0,56,1,4,-10,13.5,11,10,1
0,57,-1,3,5,13.75,-15,-10,5
0,58,1,2,-2,22.0,10,10,0
0,59,-1,1,3,20.25,-10,-10,0
0,60,1,1,3,20.25,10,10,0
0,61,-1,0,10,25.999999999999996,-10,-10,0
1,0,1,60,0,0.0,-4,-1,3
1,1,-1,59,3,1.1249999999999998,4,-1,5
1,2,1,58,0,0.0,-2,0,2
1,3,-1,57,3,1.1249999999999998,5,1,4
1,4,1,56,-2,1.0,-3,-1,2
1,5,-1,55,1,0.12500000000000003,6,1,5
1,6,1,54,-2,1.375,-4,-2,2
1,7,-1,53,1,0.7499999999999999,5,1,4
1,8,1,52,-2,2.5000000000000004,-3,0,3
1,9,-1,51,3,3.1250000000000004,1,-1,2
1,10,1,50,-2,3.375,0,0,0
1,11,-1,49,1,3.5,0,-3,3
1,12,1,48,-4,2.625,1,1,0
1,13,-1,47,-1,1.0,-1,-1,0
1,14,1,46,-4,0.6250000000000001,0,-1,1
1,15,-1,45,1,1.7500000000000002,1,-2,3
