parent_obf,n_children,bytes,mean_lb,mean_ub,min_lb,max_ub,median_lb,median_ub,exact_count,exact_fraction,parse_errors
--------------------------XXX----OOOOOO---OOOO-----O------------ X;,299873,26793187,12.045969460404905,63.63617598116536,-64,64,4,64,297690,0.992720251573166,0
--------------------------XXX---OXOOO---OO-OOO--O--------------- X;,586479,52596379,9.509834111707324,63.89783436406078,-64,64,4,64,584490,0.9966085742200488,0
---------------------X-----XX----OXOOO---OO-OOO--O-------------- X;,300647,26899079,9.810864568746736,63.89535568291052,-64,64,4,64,300263,0.9987227545925953,0
---------------------X-----XX----OXOOO---XO-OOO----O------------ X;,186867,16748152,7.590799873706968,63.92881568174156,-64,64,4,64,186852,0.9999197290051213,0
---------------------X-----XXX---OOXOOO---X-OOO----------------- X;,2242361,201430921,5.226715056139489,63.97574431592415,-64,64,4,64,2241296,0.9995250541728116,0
---------------------X-----XXXO--OOXOO----X-OOO----------------- X;,1823821,163404407,6.218004946757385,63.90302666763898,-64,64,4,64,1819707,0.9977442961781885,0
---------------------X----OOOO----XXO----OOOO--------O--------O- X;,245266,21920490,15.763685141845995,63.80695245162395,-64,64,4,64,245247,0.9999225330865265,0
---------------------X----OOOO----XXX-----OOOOO--O-------------- X;,546722,48889298,9.022100811747103,63.88648161222706,-64,64,4,64,546691,0.9999432984222328,0
---------------------X----OOOO---XXXO----OOOO------O------------ X;,314379,28096830,16.677338499072775,63.6991688376132,-64,64,4,64,313816,0.9982091679151597,0
---------------------X----OOX-----XXO----OOOOO-------O--------O- X;,537573,48076317,10.544525115658711,63.931711600098964,-64,64,4,64,537539,0.9999367527759021,0
---------------------X----OOX----OXXX---OOOOO------O------------ X;,812289,72884607,5.447012085600075,63.95759144836382,-64,64,4,64,811986,0.999626980052666,0
---------------------X----OOX----XXXO----OOOOO-----O------------ X;,1301274,116679401,5.710260098949184,63.960162886525055,-64,64,4,64,1298252,0.9976776605080867,0
---------------------X----OOXX---OXXX-----OOOO-----O------------ X;,1300093,116485408,7.012686015538888,63.96715158069461,-64,64,4,64,1299530,0.9995669540563636,0
---------------------X----OXX----OOOOOO---XOO-------O----------- X;,1018256,91233902,6.566227942678462,63.957872087176504,-64,64,4,64,1018117,0.9998634920884335,0
---------------------X----OXX----OOXO-----OOO-----OOO----------- X;,411779,36849825,7.61930792973901,63.88680578659912,-64,64,4,64,411710,0.9998324343883491,0
---------------------X----OXX---XXOOX-----O-OOO----O------------ X;,601203,53968804,6.561870117081917,63.94598164014484,-64,64,4,64,601019,0.9996939469696592,0
---------------------X----OXX---XXOOX-----O-OOO---O------------- X;,626245,56182663,5.6693466614503905,63.966195338884944,-64,64,4,64,626075,0.9997285407468323,0
---------------------X----XXXX----XXOX----XOOO-----O------------ X;,502726,46106645,-62.77542239709106,-6.755121079872535,-64,64,-64,-4,500929,0.9964254882381257,0
---------------------X----XXXXX---XXOO----XOO------O------------ X;,881116,80773396,-62.89410474897743,-6.965604982771849,-64,64,-64,-4,877906,0.9963568928495227,0
---------------------X---X-OXX----XXOX----XOOO-----O------------ X;,1521741,139741393,-63.16263214305194,-6.013858468688167,-64,64,-64,-4,1505681,0.9894462986802616,0
---------------------X---XOOOO---OOXO-----OOO-----O------------- X;,133622,11939766,15.341470715900076,63.67779257906632,-64,64,4,64,132457,0.9912813758213468,0
---------------------X---XOOOO---OOXO----OOOO------------------- X;,128127,11449461,12.31319706228976,63.54464710794758,-64,64,4,64,128025,0.9992039148657191,0
---------------------X---XOOOO---OXOO-----OOO------O------------ X;,712805,63807800,8.959448937647744,63.8884042620352,-64,64,4,64,712362,0.9993785116546601,0
---------------------X--O--XX---XOXXX-----O-OOO----O------------ X;,80730,7221573,7.195565465130683,63.88859160163508,-64,64,4,64,80611,0.9985259506998637,0
---------------------X--O--XX---XOXXX-----O-OOO---O------------- X;,82082,7343544,7.911210740479033,63.912063546209886,-64,64,4,64,82080,0.9999756341219755,0
---------------------X--O-OOX----OXXX----OOOO------O------------ X;,257115,22983221,11.792205822297415,63.81661513330611,-64,64,4,64,257045,0.9997277482838418,0
--------------------O-----XOXO----OOOOO--O-OOO------------------ X;,253206,22677920,6.398541108820486,63.93433409950791,-64,64,4,64,252643,0.9977765139846607,0
--------------------O-----XOXX---OOXO----OOOOO------------------ X;,521740,46652298,6.76037681603864,63.87421512630812,-64,64,4,64,521549,0.9996339172768045,0
--------------------O-----XXXO---OOOOOO----OOO------------------ X;,300515,26871356,7.63167562351297,63.83785501555663,-64,64,4,64,300466,0.9998369465750462,0
--------------------O-----XXXX---OXXO-----OOOO-----O------------ X;,1070949,95965031,6.35788445574906,63.91303414074807,-64,64,4,64,1070429,0.9995144493341886,0
--------------------O-----XXXXO--XXXXO------OOO----------------- X;,1688190,154849358,-62.62272374554997,-8.447583506595821,-64,64,-64,-4,1658442,0.9823787606845201,0
--------------------O----OXOXX---OOXO----O-OOO------------------ X;,132811,11860153,6.935186091513504,63.69301488581518,-64,64,4,64,132775,0.9997289381150658,0
--------------------O----OXXXO----OOOOO----OOO------------------ X;,369902,33092211,6.540351228163135,63.8093197657758,-64,64,4,64,367498,0.9935009813410038,0
--------------------OOO---XXXO--OOOOO----O--O------------------- X;,157012,14011313,9.165675235013884,63.51424731867628,-64,64,4,64,156976,0.9997707181616692,0
