parent_obf,n_children,bytes,mean_lb,mean_ub,min_lb,max_ub,median_lb,median_ub,exact_count,exact_fraction,parse_errors,n_filtered_out
--------------------------XXX----OOOOOO---OOOO-----O------------ X;,297690,26793187,12.123934294064295,63.68695622963485,-64,64,4,64,297690,1.0,0,2183
--------------------------XXX---OXOOO---OO-OOO--O--------------- X;,584490,52596379,9.53981419699225,63.92259576725008,-64,64,4,64,584490,1.0,0,1989
---------------------X-----XX----OXOOO---OO-OOO--O-------------- X;,300263,26899079,9.761029497473881,63.91468812341181,-64,64,4,64,300263,1.0,0,384
---------------------X-----XX----OXOOO---XO-OOO----O------------ X;,186852,16748152,7.592179907092244,63.93471838674459,-64,64,4,64,186852,1.0,0,15
---------------------X-----XXX---OOXOOO---X-OOO----------------- X;,2241296,201430921,5.227535318851236,63.98182480136492,-64,64,4,64,2241296,1.0,0,1065
---------------------X-----XXXO--OOXOO----X-OOO----------------- X;,1819707,163404407,6.142937297048371,63.95377387678346,-64,64,4,64,1819707,1.0,0,4114
---------------------X----OOOO----XXO----OOOO--------O--------O- X;,245247,21920490,15.76514289675307,63.81213225849857,-64,64,4,64,245247,1.0,0,19
---------------------X----OOOO----XXX-----OOOOO--O-------------- X;,546691,48889298,9.02271301338416,63.890204887221486,-64,64,4,64,546691,1.0,0,31
---------------------X----OOOO---XXXO----OOOO------O------------ X;,313816,28096830,16.704183343105512,63.71198409258929,-64,64,4,64,313816,1.0,0,563
---------------------X----OOX-----XXO----OOOOO-------O--------O- X;,537539,48076317,10.546334312487094,63.93689760184842,-64,64,4,64,537539,1.0,0,34
---------------------X----OOX----OXXX---OOOOO------O------------ X;,811986,72884607,5.446305724482935,63.965509257548774,-64,64,4,64,811986,1.0,0,303
---------------------X----OOX----XXXO----OOOOO-----O------------ X;,1298252,116679401,5.719313353647828,63.967125026574195,-64,64,4,64,1298252,1.0,0,3022
---------------------X----OOXX---OXXX-----OOOO-----O------------ X;,1299530,116485408,7.015677975883588,63.9716312820789,-64,64,4,64,1299530,1.0,0,563
---------------------X----OXX----OOOOOO---XOO-------O----------- X;,1018117,91233902,6.567001631443144,63.96368000927202,-64,64,4,64,1018117,1.0,0,139
---------------------X----OXX----OOXO-----OOO-----OOO----------- X;,411710,36849825,7.620538728716816,63.89746666342814,-64,64,4,64,411710,1.0,0,69
---------------------X----OXX---XXOOX-----O-OOO----O------------ X;,601019,53968804,6.563339927689474,63.958107813563295,-64,64,4,64,601019,1.0,0,184
---------------------X----OXX---XXOOX-----O-OOO---O------------- X;,626075,56182663,5.6702887034301,63.97771832448189,-64,64,4,64,626075,1.0,0,170
---------------------X----XXXX----XXOX----XOOO-----O------------ X;,500929,46106645,-62.99474376608262,-6.781152618434948,-64,64,-64,-4,500929,1.0,0,1797
---------------------X----XXXXX---XXOO----XOO------O------------ X;,877906,80773396,-63.117060368649945,-6.989641259998223,-64,64,-64,-4,877906,1.0,0,3210
---------------------X---X-OXX----XXOX----XOOO-----O------------ X;,1505681,139741393,-63.53559087217013,-5.827118758887175,-64,64,-64,-4,1505681,1.0,0,16060
---------------------X---XOOOO---OOXO-----OOO-----O------------- X;,132457,11939766,15.459160331277321,63.69028439418075,-64,64,4,64,132457,1.0,0,1165
---------------------X---XOOOO---OOXO----OOOO------------------- X;,128025,11449461,12.34505760593634,63.61732474126147,-64,64,4,64,128025,1.0,0,102
---------------------X---XOOOO---OXOO-----OOO------O------------ X;,712362,63807800,8.966452449737634,63.91529306728882,-64,64,4,64,712362,1.0,0,443
---------------------X--O--XX---XOXXX-----O-OOO----O------------ X;,80611,7221573,7.203260100978775,63.889990199848654,-64,64,4,64,80611,1.0,0,119
---------------------X--O--XX---XOXXX-----O-OOO---O------------- X;,82080,7343544,7.911403508771929,63.913620857699804,-64,64,4,64,82080,1.0,0,2
---------------------X--O-OOX----OXXX----OOOO------O------------ X;,257045,22983221,11.796907156334495,63.835484059211424,-64,64,4,64,257045,1.0,0,70
--------------------O-----XOXO----OOOOO--O-OOO------------------ X;,252643,22677920,6.409605649077948,63.94084934076938,-64,64,4,64,252643,1.0,0,563
--------------------O-----XOXX---OOXO----OOOOO------------------ X;,521549,46652298,6.763874535278564,63.88388818692012,-64,64,4,64,521549,1.0,0,191
--------------------O-----XXXO---OOOOOO----OOO------------------ X;,300466,26871356,7.634201540274107,63.8458328063741,-64,64,4,64,300466,1.0,0,49
--------------------O-----XXXX---OXXO-----OOOO-----O------------ X;,1070429,95965031,6.361298133738903,63.92488805889975,-64,64,4,64,1070429,1.0,0,520
--------------------O-----XXXXO--XXXXO------OOO----------------- X;,1658442,154849358,-62.975789325161806,-8.564095699457683,-64,64,-64,-4,1658442,1.0,0,29748
--------------------O----OXOXX---OOXO----O-OOO------------------ X;,132775,11860153,6.940493315759744,63.71371116550556,-64,64,4,64,132775,1.0,0,36
--------------------O----OXXXO----OOOOO----OOO------------------ X;,367498,33092211,6.335348763802796,63.909773658632155,-64,64,4,64,367498,1.0,0,2404
--------------------OOO---XXXO--OOOOO----O--O------------------- X;,156976,14011313,9.173313117928855,63.53434919987769,-64,64,4,64,156976,1.0,0,36
--------------------OX-----XO---XXXXO-----O-OOO----O------------ X;,574475,51515991,4.970165803559772,63.98328909003873,-64,64,4,64,574475,1.0,0,46
--------------------OX-----XO---XXXXO-----O-OOO---O------------- X;,666437,59870773,4.750363500225828,63.98747968675209,-64,64,4,64,666437,1.0,0,117
--------------------OX-----XXOO---XXOOO---OOO------------------- X;,1695081,151949973,5.821590826633064,63.95913587610268,-64,64,4,64,1695081,1.0,0,465
--------------------OX----OOO-----XXO----OOOO--------O--------O- X;,532851,47671784,5.86438610418297,63.95334530666171,-64,64,4,64,532851,1.0,0,40
--------------------OX----OOO----XXXO----OOOO------O------------ X;,855697,76587442,7.023175259466844,63.92426291082007,-64,64,4,64,855697,1.0,0,122
--------------------OX----OOXO----OOOOO--OX-O------------------- X;,1519775,136123979,6.276540935335823,63.967203039923675,-64,64,4,64,1519775,1.0,0,278
--------------------OX----XOO----OOOO-----OOOO--------O--------- X;,448672,40099727,9.552216318379573,63.84817862491976,-64,64,4,64,448672,1.0,0,21
--------------------OX----XOO----OOXO------OOO------O-O--------- X;,168916,15095460,14.802611949134482,63.72501124819437,-64,64,4,64,168916,1.0,0,7
--------------------OX----XOX-----OXXO---OO-OOO----------------- X;,426665,38185487,5.80648049406443,63.95924671580748,-64,64,4,64,426665,1.0,0,105
--------------------OX----XOX-O---OOOOO-----OOO----------------- X;,2039820,182912748,6.237208185035935,63.95039072074987,-64,64,4,64,2039820,1.0,0,327
--------------------OX----XOXX---OOOOX----XOO------------------- X;,2440473,225685861,-63.668142200302974,-5.716701639395314,-64,64,-64,-4,2440473,1.0,0,11880
--------------------OX----XXOX----XOOX----XOO-------O----------- X;,1328456,123160377,-63.72532925441264,-4.583314765411877,-64,64,-64,-4,1328456,1.0,0,8861
--------------------OX----XXX----OOOOO----O-OOO----------------- X;,748558,67118761,5.707066119125038,63.945781088439375,-64,64,4,64,748558,1.0,0,1839
--------------------OX---O-XXXO---OXOO----OOO------------------- X;,865767,77463952,6.922881098494168,63.92546955474163,-64,64,4,64,865767,1.0,0,150
--------------------OX---OOOOO----OXOO-----OOO------------------ X;,944982,84577364,6.882768137382511,63.9279986285453,-64,64,4,64,944982,1.0,0,209
--------------------OX---OOOOX----XXOX------OO--------O--------- X;,1705305,152750234,9.846525988019739,63.924754809256996,-64,64,4,64,1705305,1.0,0,2436
--------------------OX---OOOOX----XXXO------OOO----------------- X;,1837966,164713286,6.174818250174377,63.968853613178915,-64,64,4,64,1837966,1.0,0,115
--------------------OX---XOOO----OOXO-----OOO-----O------------- X;,110061,9830699,15.170114754545207,63.729531805089906,-64,64,4,64,110061,1.0,0,25
--------------------OX---XOOO----OOXO----OOOO------------------- X;,201226,17981964,11.729657201355689,63.52706906662161,-64,64,4,64,201226,1.0,0,68
--------------------OX---XOOO----OXOO-----OOO------O------------ X;,1043693,93603817,6.523111681308584,63.95021716155996,-64,64,4,64,1043693,1.0,0,415
--------------------OX-O--OXXXO---XXXOO-----O------------------- X;,392777,35170191,6.748470506165076,63.956443478105896,-64,64,4,64,392777,1.0,0,134
--------------------X------OXO----OXOO---OOOOO-----O------------ X;,209094,18672400,7.239098204635236,63.815767071269384,-64,64,4,64,209094,1.0,0,33
--------------------X------XOO---OOOOO-----OOO-----O-------O---- X;,1029691,92190761,8.339542639490876,63.92569032845776,-64,64,4,64,1029691,1.0,0,178
--------------------X------XOOOO-OOOOO-----OOO------------------ X;,1765557,158043758,6.801891980830979,63.941839317563804,-64,64,4,64,1765557,1.0,0,195
--------------------X------XXX----XOO-X--XXOO------OO----------- X;,144212,13302996,-62.316533991623444,-8.781654786009486,-64,64,-64,-4,144212,1.0,0,1012
