obf,edax_d20_score,edax_d20_depth_observed,edax_d20_best_move,parse_ok
------------O------OOX-----XOX----XXOO----XO-O------------------ X;,-2,20,f2,1
------------------OOXX-----OXX----XXOO----XO-O------------------ X;,6,20,c4,1
--------------------XX----OXXO----XXO----OOOOO------------------ X;,3,20,b4,1
-------------------OXX-----XXX---OOOOO----XO-O------------------ X;,9,20,c3,1
-------------------OXX-----XXX----XXOO---OOO-O------------------ X;,6,20,c3,1
-------------------OXX---O-XXX----OXOO----XO-O------------------ X;,8,20,c3,1
--------------------XX----OXXO----OXO-----OOOO----O------------- X;,9,20,g4,1
-----------------OO-OX---XOXXX----XOO-----X-O------------------- X;,-4,20,d6,1
------------------OOXX----XOX-----XOOO----XO-------O------------ X;,-3,20,e2,1
-------------------OOX----XXOX----XXOO----XO-O------------------ X;,-6,20,c3,1
------------X-----O-XX----OOXX----XOO-----XOO------------------- X;,-7,20,f6,1
----------X--------X-X-----OXX---OOOOO----XO-O------------------ X;,-5,20,c7,1
-----------X------O-XX----OOXX----XOO-----XOO------------------- X;,-7,20,f5,1
-------------X----O-XX----OXXX---OOOO-----X-O------------------- X;,-8,20,f6,1
-----------------XO-OX----XOXX----XOO-----XOO------------------- X;,-10,20,d2,1
-----------X-------XOX-----XOX----XXOO----XO-O------------------ X;,-13,20,g6,1
----------X-------X-OX----XOXX----OXO----OX-O------------------- X;,-6,20,f5,1
--------------------XX---OOXXO----OXX-----XOO------O------------ X;,0,20,f5,1
-------------------OXX----OOXO----XOX-----XOO------O------------ X;,2,20,f6,1
--------------------XX----OXXO----XXX----OOOO------O------------ X;,1,20,b4,1
--------------------XX----OXXO---OXXX-----OOO------O------------ X;,3,20,c3,1
-------------------OXX-----XXOO--OOOOO----XO-------------------- X;,4,20,c4,1
------------------XX------OXXO-----XXO-----OOO------OO---------- X;,4,20,c5,1
-------------------OXX-----XXOO---XXXO---OOO-------------------- X;,8,20,g3,1
-------------------OXX---O-XXOO---OXXO----XO-------------------- X;,10,20,c4,1
------------------XXXX-----OOO----OOOO----XO-------O------------ X;,2,20,c4,1
-------------O----XXOX-----OX-----OOOO----XO-------O------------ X;,9,20,c4,1
-----------O------XOXX-----OX-----OOOO----XO-------O------------ X;,10,20,c4,1
------------------XXXX-----XO-----OOOO------OO------OO---------- X;,13,20,f4,1
----------O-------XOXX-----OO-----OOOO----XO-------O------------ X;,10,20,c4,1
------------------XXXX-----XO-----OOOO------OOO-----O----------- X;,13,20,f4,1
------------O-----XXOX-----OO-----OOOO----XO-------O------------ X;,13,20,c4,1
------------------XXXX-----XO-----OOOOO-----OO------O----------- X;,15,20,f4,1
---------O--------OXXX-----OX-----OOOO----XO-------O------------ X;,24,20,c4,1
------------------X-OX----XOOOO---XOO-----O-O----O-------------- X;,28,20,d3,1
------------------XXXX-----XO-----OOOO------OO------O-O--------- X;,28,20,f4,1
------------X-----O-XX----OOXO----XXO-O---X-O------------------- X;,5,20,d3,1
-------------------OXX-----XX----XXXOO---OOO--------O----------- X;,4,20,c7,1
-------------------OXX---O-XX----XOXOO----XO--------O----------- X;,4,20,c3,1
------------X-------XX----OXXO---OOOO-O---X-O------------------- X;,7,20,d6,1
-------------------OXX-----XX---OOOOOO----XO--------O----------- X;,10,20,f6,1
------------X-------XX----OXXO----OXO-O---O-O-----O------------- X;,13,20,f5,1
------------------XXX-----OXXO-----OOO-----OOO-------O---------- X;,7,20,g5,1
------------------OXXX----OOXO-----XO-----XOO-----O------------- X;,9,20,c5,1
-------------------O-XO---XXXO----XXOO---OOO-------------------- X;,10,20,e6,1
--------------------OX----OOXO----OOOOO--OX-O------------------- X;,14,20,f6,1
-------------------O-XO---OXXO---OOOOO----XO-------------------- X;,15,20,c3,1
-------------------XXX----OXXO-----XO----OOOO-----O------------- X;,16,20,f5,1
------------O-----XXOX-----XO-----OXOO----OO------O------------- X;,14,20,f4,1
-------------O----XXOX-----OX-----OXOO----OO------O------------- X;,17,20,c4,1
----------O-------XOXX-----XO-----OXOO----OO------O------------- X;,16,20,f4,1
------------O-----XXOX-----XO-----OOOO------OO-------O---------- X;,16,20,f4,1
--------------O---XXXO-----XO-----OOOO----OO------O------------- X;,31,20,f4,1
---------O--------OXXX-----OX-----OXOO----OO------O------------- X;,32,20,c4,1
-----------------XO-OX----OOXX----OXO-----O-O-----O------------- X;,14,20,b4,1
---------------O--XO--O---XXXO-----OOO-----O-O-------O---------- X;,17,20,c6,1
----------X--------XOOO----XX-----OXOO----OO------O------------- X;,15,20,e2,1
-----------------X--OX----XXXO----OXO-O---O-O-----O------------- X;,17,20,g4,1
--------------O--X--OO----XXOX----OOO-----O-O-----O------------- X;,21,20,d6,1
----------X------OOOO-----XXXO----XXXX-----O-------------------- X;,-1,20,d2,1
------------X----OOOO-----XXXO----XXXX-----O-------------------- X;,-3,20,c2,1
------------X-------XOO---OXXO----XXXO------OO------------------ X;,-5,20,c3,1
------------------X-OOO---XXXO----XXXXO-----O------------------- X;,-8,20,e7,1
-----------X-------X-----OXXXX----OXXO---OOO-------------------- X;,-7,20,a4,1
------------X------X-----OXXXX----OXXO---OOO-------------------- X;,-8,20,a4,1
----------X--------X-----OXXXX----OXXO---OOO-------------------- X;,-5,20,a4,1
--------------------O-----XXXXO--XXXXO------OOO----------------- X;,-10,20,e2,1
-----------------X--OOO---XXXO----XXXXO-----O------------------- X;,-13,20,f2,1
---------------X----OOX---OXXO----XXXO------OO------------------ X;,-16,20,e2,1
---------X-------OXO------OXXO---OXXXX-----O-------------------- X;,-22,20,b4,1
-------------------OX----X-XXX----XXXO----OOO-----O------------- X;,-3,20,f6,1
-------------O------XOX---OXXO----XXXO-----XO------------------- X;,-6,20,f6,1
-------------------OX------XXX---XXXXO----OOO-----O------------- X;,-6,20,d2,1
-------------------XXX----XXX-O---OXXO------OOO----------------- X;,-6,20,h5,1
-------------------XXX----XXX-----OXXO-----OOO-------O---------- X;,-7,20,c6,1
------------X------XX-----XXX-----OXXO------OO-----O-O---------- X;,-7,20,b5,1
------------X------XX-----XXX-O---OXXO------OOO----------------- X;,-7,20,b5,1
-------------X-----XX-----XXX-O---OXXO------OOO----------------- X;,-7,20,b5,1
-------------X-----XX-----XXX-----OXXO------OO-----O-O---------- X;,-10,20,b6,1
------X------X-----OOO----OXXO----XXX------XO------------------- X;,-17,20,f5,1
------------OOX-----OX----OXOO----XXO------XO------------------- X;,-19,20,f5,1
------------------XXXO----XXXO-----XXO-----OOO------------------ X;,-3,20,g4,1
------------------OXXX---XOXXX----OOO-----O-O------------------- X;,-4,20,b5,1
-----------O------OOXX----OOXX----XXO-----X-O------------------- X;,-8,20,d1,1
------------------OXXX---OOOXX---XXOO-------O------------------- X;,-6,20,c6,1
----------O------XOXXX----OOXX----XOO-------O------------------- X;,-8,20,c6,1
------------O-----XXOO----XXOO----XXXX-----O-------------------- X;,-10,20,g4,1
-------------X----XXXX----XXOX-----OOOO----O-------------------- X;,-14,20,c6,1
--------------------XX---XXXXX-----OOOO----XOO------------------ X;,-16,20,h6,1
------------------X-XX---XXXXO-----OOO----OOO------------------- X;,-5,20,g4,1
-----------X------XXO-----XOOO----OOOX----XO-------------------- X;,-9,20,e6,1
------------X-----XXO-----XOOO----OOOX----XO-------------------- X;,-10,20,d7,1
------------------X-XX----XXXO----XOOO----OOO------------------- X;,-9,20,g4,1
-------------X----XOX-----XXOO----OOOX----XO-------------------- X;,-8,20,f3,1
----------X-------XXO-----XOXO----OOOX----XO-------------------- X;,-9,20,d7,1
------------------XOOX-----XOX----XXOO----XOO------------------- X;,-12,20,d7,1
------------------XOO-----XOXXX---OOOX----XO-------------------- X;,-12,20,f6,1
------------O-----XXOX----XXOX-----XOX----XO-------------------- X;,-11,20,f2,1
-----------X------XXO-----XXOO----XXOX-----OO------------------- X;,-7,20,g4,1
------------------XX-----XXXXO----OOOO-----OOO------------------ X;,-8,20,c6,1
------------X------OXX----OOXX----XOO-----XOO------------------- X;,-11,20,f5,1
-----------OX-----XOXX----XOXX----XOO-------O------------------- X;,-10,20,f6,1
