obf,side_to_move,n_empties,black_count,white_count,disc_diff_player_minus_opp,count_wthor,edax_score,edax_alpha,edax_beta,a1_minus_energy,a2_minus_energy,b1_minus_energy,b2_minus_energy,e_minus_energy,d4_a1_occupation_energy,d4_a2_occupation_energy,d4_b1_occupation_energy,d4_b2_occupation_energy,d4_e_occupation_energy,b1_energy,b2_energy,e_energy,archive_n_children,archive_mean_lb,archive_mean_ub,archive_median_lb,archive_median_ub,archive_min_lb,archive_max_ub,archive_exact_fraction
------------O------OOX-----XOX----XXOO----XO-O------------------ X;,1,50,6,8,-2,6397,0,-64,64,0.875,2.125,2.125,2.875,5.999999999999999,10.875,0.125,0.125,0.875,2.0,2.125,2.875,5.999999999999999,10556026,-27.117191261181055,32.31025501452914,2.0,64.0,-64.0,64.0,1.0
------------------OOXX-----OXX----XXOO----XO-O------------------ X;,1,50,7,7,0,96,4,-64,0,0.0,0.5000000000000001,0.5000000000000001,10.000000000000002,2.9999999999999996,12.5,0.0,0.0,0.5,1.0,0.5000000000000001,10.000000000000002,2.9999999999999996,1618420,5.093398499771382,63.96674163690513,4.0,64.0,-64.0,64.0,1.0
--------------------XX----OXXO----XXO----OOOOO------------------ X;,1,50,6,8,-2,14,4,-64,0,1.875,0.12500000000000003,0.12500000000000003,1.875,10.000000000000002,10.875,0.125,0.125,0.875,2.0,0.12500000000000003,1.875,10.000000000000002,1598418,5.296564478127749,63.96058853191093,4.0,64.0,-64.0,64.0,1.0
-------------------OXX-----XXX---OOOOO----XO-O------------------ X;,1,50,6,8,-2,27,6,-64,0,0.875,0.12500000000000003,0.12500000000000003,2.875,10.000000000000002,10.875,0.125,0.125,0.875,2.0,0.12500000000000003,2.875,10.000000000000002,3434348,5.332946457377062,63.97666806042952,4.0,64.0,-64.0,64.0,1.0
-------------------OXX-----XXX----XXOO---OOO-O------------------ X;,1,50,7,7,0,20,6,-64,0,1.375,0.6250000000000001,0.6250000000000001,3.375,8.000000000000002,10.875,0.125,0.125,0.875,2.0,0.6250000000000001,3.375,8.000000000000002,2300134,5.390545072591423,63.97511449332952,4.0,64.0,-64.0,64.0,1.0
-------------------OXX---O-XXX----OXOO----XO-O------------------ X;,1,50,7,7,0,4,6,-64,0,1.875,0.12500000000000003,0.12500000000000003,3.875,8.000000000000002,10.875,0.125,0.125,0.875,2.0,0.12500000000000003,3.875,8.000000000000002,2264107,5.2940466152880585,63.98113340049741,4.0,64.0,-64.0,64.0,1.0
--------------------XX----OXXO----OXO-----OOOO----O------------- X;,1,50,5,9,-4,0,8,-64,0,3.375,0.6250000000000001,0.6250000000000001,1.375,8.000000000000002,10.875,0.125,0.125,0.875,2.0,0.6250000000000001,1.375,8.000000000000002,288146,8.749973971528322,63.8444330304776,4.0,64.0,-64.0,64.0,1.0
-----------------OO-OX---XOXXX----XOO-----X-O------------------- X;,1,50,7,7,0,319,-4,0,64,0.6250000000000001,1.375,1.375,3.6250000000000004,7.000000000000001,9.625,0.375,0.375,0.625,3.0,1.375,3.6250000000000004,7.000000000000001,2469874,-63.752467534781125,-5.27230376934208,-64.0,-4.0,-64.0,64.0,1.0
------------------OOXX----XOX-----XOOO----XO-------O------------ X;,1,50,6,8,-2,344,-4,0,64,1.375,0.12500000000000003,0.6250000000000001,3.875,8.000000000000002,10.875,0.625,0.125,0.375,2.0,0.6250000000000001,3.875,8.000000000000002,3239303,-63.88844266806779,-4.174341208587156,-64.0,-4.0,-64.0,64.0,1.0
-------------------OOX----XXOX----XXOO----XO-O------------------ X;,1,50,7,7,0,37,-6,0,64,0.37499999999999994,1.1249999999999998,3.1250000000000004,2.3749999999999996,7.000000000000001,12.375,0.125,0.125,0.375,1.0,3.1250000000000004,2.3749999999999996,7.000000000000001,2408448,-63.77853455835459,-4.8625181029443025,-64.0,-4.0,-64.0,64.0,1.0
