corpus,game,ply,obf_tasklist,edax_score_preproof,edax_alpha,edax_beta,count_wthor,disc_diff_player_minus_opp,a1_minus_energy,b1_minus_energy,b2_minus_energy,e_minus_energy,d4_a1_occupation_energy,d4_e_occupation_energy,archive_mean_lb,archive_mean_ub,archive_median_lb
liveothello_Barcelona_EGP_2026,0,10,------------O------OOX-----XOX----XXOO----XO-O------------------ X;,0,-64,64,6397,-2,0.875,2.125,2.875,5.999999999999999,10.875,2.0,-27.150323412609282,32.1957929191177,2.0
liveothello_Barcelona_EGP_2026,3,10,------------------XXXX-----OOO----OOOO----XO-------O------------ X;,2,-64,0,586,-4,6.875,2.125,0.875,4.0,10.875,2.0,5.858601169769608,63.98162661572535,4.0
liveothello_Barcelona_EGP_2026,4,10,------------------OOXX----XOX-----XOOO----XO-------O------------ X;,-4,0,64,344,-2,1.375,0.6250000000000001,3.875,8.000000000000002,10.875,2.0,-63.71231116139111,-4.164501804692971,-64.0
liveothello_Barcelona_EGP_2026,5,10,------------------XXXO-----XOO----XOXO-----OOO------------------ X;,-4,0,64,254,-2,0.37499999999999994,0.12500000000000003,4.375,9.0,12.375,1.0,-63.654931443428154,-4.846395303678734,-64.0
liveothello_Barcelona_EGP_2026,9,10,-----------------OO-OX---XOXXX----XOO-----X-O------------------- X;,-4,0,64,319,0,0.6250000000000001,1.375,3.6250000000000004,7.000000000000001,9.625,3.0,-63.459430030035115,-5.248586197711077,-64.0
liveothello_Barcelona_EGP_2026,11,10,----O-------OO-----XOX----OOOO-----XOO-------O------------------ X;,4,-64,0,8,-8,2.5000000000000004,1.4999999999999998,2.5000000000000004,5.999999999999999,8.5,4.0,10.39659217603313,63.72477977481285,4.0
liveothello_Barcelona_EGP_2026,12,10,-------------------XX------XXO----XOXO----OOOO-----O------------ X;,-2,0,64,3206,-2,2.25,0.25,1.2500000000000002,10.000000000000002,11.25,2.0,-63.5861649182872,-5.296221486408842,-64.0
liveothello_Barcelona_EGP_2026,14,10,-------------------XX------XXO----XOXO----OOOO-----O------------ X;,-2,0,64,3206,-2,2.25,0.25,1.2500000000000002,10.000000000000002,11.25,2.0,-63.5861649182872,-5.296221486408842,-64.0
liveothello_Barcelona_EGP_2026,15,10,-----------------OO-OX---XOXXX----XOO-----X-O------------------- X;,-4,0,64,319,0,0.6250000000000001,1.375,3.6250000000000004,7.000000000000001,9.625,3.0,-63.459430030035115,-5.248586197711077,-64.0
liveothello_Barcelona_EGP_2026,20,10,-------------------XX------XXO----XOXO----OOOO-----O------------ X;,-2,0,64,3206,-2,2.25,0.25,1.2500000000000002,10.000000000000002,11.25,2.0,-63.5861649182872,-5.296221486408842,-64.0
